tiempo_s,distancia_cm,velocidad,bateria,luz,sonido,accion
0.59,160.9,50,80,34,3,parar
1.1,160.9,50,80,34,15,parar
1.82,161.3,50,80,34,20,parar
2.46,161.7,50,70,35,85,izquierda
3.14,118.3,50,70,41,95,izquierda
3.8,90.5,50,70,44,92,izquierda
4.5,300.0,50,80,34,9,parar
5.12,161.7,50,80,34,3,parar
5.72,161.7,50,80,34,10,parar
6.32,163.4,50,80,34,33,parar
6.92,163.0,50,80,34,38,parar
7.64,161.7,50,80,34,3,parar
8.24,161.7,50,80,34,4,parar
8.84,162.6,50,80,34,17,parar
9.44,161.7,50,80,34,7,parar
10.1,161.3,50,80,34,3,parar
10.7,161.3,50,80,33,5,parar
11.3,161.7,50,80,33,4,parar
11.96,161.3,50,80,33,6,parar
12.62,160.9,50,80,33,7,parar
13.22,160.9,50,80,33,14,parar
14.0,160.9,50,80,33,36,parar
14.72,161.3,50,80,33,9,parar
15.32,161.3,50,80,33,5,parar
15.98,160.9,50,80,33,5,parar
16.62,160.9,50,70,34,51,adelante
17.3,174.0,50,70,34,100,adelante
17.96,141.7,50,70,34,100,adelante
18.66,151.6,50,70,37,79,izquierda
19.38,82.1,50,80,42,16,parar
20.12,300.0,50,80,43,5,parar
20.76,300.0,50,70,39,82,derecha
21.54,147.3,50,80,37,6,parar
22.19,149.5,50,80,36,94,izquierda
22.86,80.2,50,80,41,5,parar
23.58,300.0,50,70,39,65,adelante
24.2,300.0,50,70,36,78,adelante
24.86,92.9,50,70,35,66,adelante
25.52,300.0,50,70,35,67,adelante
26.28,300.0,50,80,35,15,parar
27.02,300.0,50,80,36,35,parar
27.62,300.0,50,80,36,14,parar
