tiempo_s,modo,distancia_cm,offset,velocidad,bateria
0.5,detenido,--,--,50,--
1.0,detenido,--,--,50,--
1.5,detenido,--,--,50,--
3.46,pista,--,blue,50,50
4.2,pista,--,recto,50,50
4.98,pista,--,derecha,50,50
5.57,pista,--,derecha,50,50
6.12,pista,--,perdida,50,50
6.66,pista,--,recto,50,50
7.5,pista,--,recto,50,50
8.05,pista,--,recto,50,50
8.64,pista,--,recto,50,50
9.3,pista,--,derecha,50,50
10.15,pista,--,perdida,50,50
10.74,pista,--,recto,50,50
11.4,pista,--,recto,50,50
12.12,pista,--,recto,50,50
12.67,pista,--,derecha,50,50
13.26,pista,--,derecha,50,50
13.92,pista,--,recto,50,50
14.64,pista,--,recto,50,50
15.25,pista,--,derecha,50,50
15.78,pista,--,derecha,50,50
16.31,pista,--,recto,50,50
17.22,pista,--,perdida,50,50
18.41,pista,--,blue,50,50
19.21,pista,--,blue,50,50
19.8,pista,--,recto,50,50
20.34,pista,--,recto,50,50
21.61,pista,--,green,50,50
22.32,pista,--,recto,50,50
22.97,pista,--,recto,50,50
23.58,pista,--,perdida,50,50
24.12,pista,--,perdida,50,50
24.9,pista,--,perdida,50,50
25.43,pista,--,perdida,50,50
26.1,pista,--,perdida,50,50
26.7,pista,--,perdida,50,50
27.48,pista,--,perdida,50,50
28.09,pista,--,perdida,50,50
28.74,pista,--,perdida,50,50
29.65,pista,--,perdida,50,50
30.18,pista,--,perdida,50,50
30.79,pista,--,perdida,50,50
