tiempo_s,modo,distancia_cm,offset,velocidad,bateria
0.5,detenido,--,--,50,--
1.0,detenido,--,--,50,--
1.5,detenido,--,--,50,--
2.16,pista,--,perdida,50,50
3.01,pista,--,perdida,50,50
3.54,pista,--,perdida,50,50
4.26,pista,--,perdida,50,50
5.04,pista,--,perdida,50,50
5.76,pista,--,perdida,50,50
6.31,pista,--,perdida,50,50
7.08,pista,--,perdida,50,50
7.63,pista,--,perdida,50,50
8.22,pista,--,perdida,50,50
8.88,pista,--,perdida,50,50
9.66,pista,--,perdida,50,50
11.05,pista,--,green,50,50
12.0,pista,--,recto,50,50
12.6,pista,--,recto,50,50
13.26,pista,--,perdida,50,50
14.1,pista,--,perdida,50,50
14.64,pista,--,perdida,50,50
15.25,pista,--,perdida,50,50
15.91,pista,--,perdida,50,50
16.67,pista,--,perdida,50,50
17.22,pista,--,perdida,50,50
17.83,pista,--,perdida,50,50
18.48,pista,--,perdida,50,50
19.32,pista,--,perdida,50,50
19.92,pista,--,perdida,50,50
20.46,pista,--,perdida,50,50
20.99,pista,--,perdida,50,50
21.9,pista,--,perdida,50,50
22.43,pista,--,perdida,50,50
22.98,pista,--,perdida,50,50
23.52,pista,--,perdida,50,50
24.3,pista,--,perdida,50,50
24.9,pista,--,perdida,50,50
25.57,pista,--,perdida,50,50
26.33,pista,--,perdida,50,50
26.94,pista,--,perdida,50,50
