tiempo_s,modo,distancia_cm,offset,velocidad,bateria
0.51,detenido,--,--,50,--
1.36,pista,--,recto,50,--
2.02,pista,--,recto,50,50
2.8,pista,--,recto,50,50
3.39,pista,--,recto,50,50
3.93,pista,--,izquierda,50,50
4.6,pista,--,perdida,50,50
5.28,pista,--,perdida,50,50
5.82,pista,--,perdida,50,50
6.36,pista,--,perdida,50,50
6.9,pista,--,perdida,50,50
7.74,pista,--,perdida,50,50
8.34,pista,--,perdida,50,50
8.88,pista,--,perdida,50,50
10.14,pista,--,perdida,50,50
10.8,pista,--,perdida,50,50
11.34,pista,--,perdida,50,50
11.94,pista,--,perdida,50,50
12.6,pista,--,perdida,50,50
13.18,pista,--,recto,50,50
13.8,pista,--,perdida,50,50
14.34,pista,--,perdida,50,50
15.06,pista,--,perdida,50,50
15.66,pista,--,perdida,50,50
16.26,pista,--,perdida,50,50
16.86,pista,--,perdida,50,50
17.64,pista,--,perdida,50,50
18.24,pista,--,perdida,50,50
18.78,pista,--,perdida,50,50
19.32,pista,--,perdida,50,50
20.16,pista,--,perdida,50,50
20.76,pista,--,perdida,50,50
21.3,pista,--,perdida,50,50
21.84,pista,--,perdida,50,50
22.56,pista,--,perdida,50,50
23.1,pista,--,perdida,50,50
23.76,pista,--,perdida,50,50
24.3,pista,--,perdida,50,50
25.0,pista,--,recto,50,50
25.6,pista,--,izquierda,50,50
26.19,pista,--,izquierda,50,50
26.74,pista,--,recto,50,50
27.57,pista,--,recto,50,50
