tiempo_s,modo,distancia_cm,offset,velocidad,bateria
0.5,detenido,--,--,50,--
1.03,detenido,--,--,50,--
1.54,detenido,--,--,50,--
2.19,detenido,--,--,50,60
2.7,detenido,--,--,50,60
3.23,detenido,--,--,50,60
3.73,detenido,--,--,50,60
4.23,detenido,--,--,50,60
4.74,detenido,--,--,50,60
5.24,detenido,--,--,50,60
5.74,detenido,--,--,50,60
6.25,detenido,--,--,50,60
6.75,detenido,--,--,50,60
7.83,pista,--,recto,50,60
8.38,pista,--,recto,50,60
9.21,pista,--,perdida,50,60
9.81,pista,--,perdida,50,60
10.35,pista,--,perdida,50,60
10.95,pista,--,perdida,50,60
11.67,pista,--,perdida,50,60
12.22,pista,--,recto,50,60
12.82,pista,--,recto,50,60
13.41,pista,--,izquierda,50,60
14.2,pista,--,perdida,50,60
14.8,pista,--,perdida,50,60
15.39,pista,--,perdida,50,60
15.92,pista,--,perdida,50,60
16.71,pista,--,perdida,50,60
17.32,pista,--,perdida,50,60
