tiempo_s,modo,distancia_cm,offset,velocidad,bateria
0.54,pista,--,perdida,90,--
1.27,pista,--,perdida,90,--
1.99,pista,--,perdida,90,--
2.7,pista,--,perdida,90,70
3.48,pista,--,perdida,90,70
4.26,pista,--,perdida,90,70
4.98,pista,--,perdida,90,70
5.7,pista,--,perdida,90,70
6.43,pista,--,perdida,90,70
7.2,pista,--,perdida,90,70
7.74,pista,--,perdida,90,70
8.29,pista,--,perdida,90,70
9.0,pista,--,perdida,90,70
9.78,pista,--,perdida,90,70
10.5,pista,--,perdida,90,70
11.22,pista,--,perdida,90,70
12.0,pista,--,perdida,90,70
12.61,pista,--,perdida,90,70
13.32,pista,--,perdida,90,70
14.04,pista,--,perdida,90,70
14.58,pista,--,perdida,90,70
15.54,pista,--,perdida,90,70
16.26,pista,--,perdida,90,70
16.8,pista,--,perdida,90,70
17.83,pista,--,perdida,90,70
18.43,pista,--,perdida,90,70
19.15,pista,--,perdida,90,70
19.8,pista,--,perdida,90,70
20.35,pista,--,perdida,90,70
20.88,pista,--,perdida,90,70
21.6,pista,--,perdida,90,70
22.27,pista,--,perdida,90,70
22.99,pista,--,perdida,90,70
23.7,pista,--,perdida,90,70
24.42,pista,--,perdida,90,70
25.14,pista,--,perdida,90,70
25.68,pista,--,perdida,90,70
26.34,pista,--,perdida,90,70
27.18,pista,--,perdida,90,70
27.73,pista,--,perdida,90,70
28.39,pista,--,perdida,90,70
28.98,pista,--,perdida,90,70
29.71,pista,--,perdida,90,70
30.6,pista,--,perdida,90,70
31.2,pista,--,perdida,90,70
31.75,pista,--,perdida,90,70
32.7,pista,--,perdida,90,70
33.48,pista,--,perdida,90,70
34.21,pista,--,perdida,90,70
34.93,pista,--,perdida,90,70
35.52,pista,--,perdida,90,70
36.24,pista,--,perdida,90,70
36.96,pista,--,perdida,90,70
37.68,pista,--,perdida,90,70
38.46,pista,--,perdida,90,70
39.18,pista,--,perdida,90,70
39.91,pista,--,perdida,90,70
40.63,pista,--,perdida,90,70
41.28,pista,--,perdida,90,70
41.89,pista,--,perdida,90,70
42.42,pista,--,perdida,90,70
43.38,pista,--,perdida,90,70
44.17,pista,--,perdida,90,70
