tiempo_s,modo,distancia_cm,offset,velocidad,bateria
0.5,detenido,--,--,50,--
1.0,detenido,--,--,50,--
1.5,detenido,--,--,50,--
2.03,detenido,--,--,50,50
2.53,detenido,--,--,50,50
3.43,pista,--,recto,50,50
3.96,pista,--,recto,50,50
4.51,pista,--,recto,50,50
5.34,pista,--,recto,50,50
5.95,pista,--,recto,50,50
6.48,pista,--,recto,50,50
7.09,pista,--,recto,50,50
7.93,pista,--,recto,50,50
8.46,pista,--,recto,50,50
9.12,pista,--,recto,50,50
9.9,pista,--,recto,50,50
10.49,pista,--,derecha,50,50
11.11,pista,--,derecha,50,50
11.65,pista,--,derecha,50,50
12.48,pista,--,derecha,50,50
13.15,pista,--,derecha,50,50
13.74,pista,--,derecha,50,50
14.52,pista,--,derecha,50,50
15.25,pista,--,derecha,50,50
