tiempo_s,modo,distancia_cm,offset,velocidad,bateria
0.51,detenido,--,--,50,--
1.01,detenido,--,--,50,--
1.51,detenido,--,--,50,--
2.28,detenido,--,--,50,60
2.81,detenido,--,--,50,60
3.54,pista,--,recto,50,60
4.09,pista,--,recto,50,50
4.87,pista,--,perdida,50,50
5.4,pista,--,izquierda,50,50
6.0,pista,--,izquierda,50,50
6.61,pista,--,izquierda,50,60
7.43,pista,--,izquierda,50,60
8.04,pista,--,izquierda,50,60
8.58,pista,--,izquierda,50,60
9.23,pista,--,izquierda,50,60
10.14,pista,--,izquierda,50,60
10.69,pista,--,izquierda,50,60
11.34,pista,--,izquierda,50,60
12.25,pista,--,recto,50,60
12.78,pista,--,recto,50,60
13.37,pista,--,recto,50,50
14.22,pista,--,izquierda,50,50
14.77,pista,--,perdida,50,50
15.36,pista,--,perdida,50,50
16.02,pista,--,perdida,50,60
16.73,pista,--,perdida,50,60
17.35,pista,--,perdida,50,60
17.94,pista,--,perdida,50,60
