tiempo_s,distancia_cm,velocidad,bateria,luz,sonido,accion
0.61,160.9,50,80,34,36,parar
1.18,160.9,50,80,34,9,parar
1.78,161.3,50,80,34,3,parar
2.38,160.9,50,80,34,6,parar
3.16,161.3,50,80,34,3,parar
3.76,160.9,50,80,34,8,parar
4.36,160.9,50,80,34,17,parar
4.96,160.9,50,80,35,55,parar
5.62,160.9,50,80,33,17,parar
6.4,160.9,50,80,34,12,parar
7.0,160.9,50,80,35,16,parar
7.6,161.3,50,80,35,11,parar
8.2,160.9,50,80,35,7,parar
8.8,161.8,50,80,35,30,parar
9.52,162.2,50,80,34,10,parar
10.12,161.8,50,80,34,20,parar
10.72,161.8,50,80,35,9,parar
11.32,161.8,50,80,34,13,parar
11.98,162.2,50,80,35,20,parar
12.64,161.8,50,80,34,14,parar
13.42,161.4,50,80,35,9,parar
14.02,161.4,50,80,34,14,parar
14.62,161.4,50,80,34,21,parar
15.4,161.8,50,80,34,4,parar
16.0,162.2,50,80,35,39,parar
16.6,162.7,50,80,35,6,parar
17.26,162.2,50,80,35,19,parar
17.86,162.2,50,80,34,5,parar
18.58,162.2,50,80,34,8,parar
19.18,161.8,50,80,34,15,parar
19.9,161.8,50,80,34,22,parar
20.56,161.4,50,80,35,24,parar
21.16,161.8,50,80,34,14,parar
21.88,161.8,50,80,35,13,parar
22.48,161.8,50,80,35,13,parar
23.2,161.8,50,80,35,9,parar
23.86,162.2,50,80,34,6,parar
24.46,161.8,50,80,35,7,parar
25.12,161.7,50,80,35,6,parar
25.72,161.8,50,80,35,4,parar
26.32,160.9,50,80,34,16,parar
27.04,161.3,50,80,34,7,parar
27.64,161.3,50,80,35,5,parar
28.3,161.7,50,80,35,9,parar
28.9,161.7,50,80,34,6,parar
29.56,161.7,50,80,34,6,parar
30.16,161.3,50,80,35,13,parar
31.0,161.3,50,80,34,5,parar
31.6,161.3,50,80,34,8,parar
32.2,161.3,50,80,34,4,parar
32.8,161.3,50,80,34,6,parar
33.4,161.3,50,80,34,4,parar
34.12,160.9,50,80,34,12,parar
34.72,161.3,50,80,34,16,parar
35.38,161.3,50,80,34,20,parar
36.16,160.9,50,80,34,17,parar
36.76,160.9,50,80,34,3,parar
37.42,103.1,50,80,34,4,parar
38.02,160.9,50,80,34,10,parar
38.86,160.9,50,80,35,6,parar
39.46,160.9,50,80,34,4,parar
40.12,160.9,50,80,34,3,parar
40.84,161.3,50,80,34,8,parar
41.44,160.9,50,80,34,18,parar
42.04,160.9,50,80,34,16,parar
42.64,161.3,50,80,34,9,parar
43.3,161.4,50,80,34,4,parar
44.08,161.8,50,80,34,11,parar
44.68,161.8,50,80,34,20,parar
45.28,161.4,50,80,34,5,parar
45.88,161.4,50,80,34,5,parar
46.6,161.8,50,80,34,4,parar
47.26,161.4,50,80,34,6,parar
47.92,161.4,50,80,34,4,parar
48.52,160.9,50,80,34,8,parar
49.18,161.4,50,80,34,9,parar
49.9,161.4,50,80,34,6,parar
50.5,161.8,50,80,34,4,parar
51.16,161.8,50,80,34,3,parar
51.82,161.4,50,80,34,10,parar
52.42,162.2,50,80,34,2,parar
53.14,162.2,50,80,34,27,parar
53.8,161.8,50,80,34,15,parar
54.46,105.5,50,80,34,8,parar
55.06,161.8,50,80,34,10,parar
55.66,161.8,50,80,33,10,parar
56.5,161.8,50,80,33,6,parar
57.1,161.4,50,80,33,4,parar
57.7,160.9,50,80,33,5,parar
58.3,160.9,50,80,34,9,parar
59.02,160.9,50,80,34,14,parar
59.62,106.0,50,80,34,9,parar
60.22,160.9,50,80,34,22,parar
61.06,160.9,50,80,33,7,parar
61.66,161.4,50,80,34,5,parar
62.38,161.4,50,80,34,4,parar
62.98,161.8,50,80,34,5,parar
63.64,162.2,50,80,34,6,parar
64.3,104.0,50,80,34,4,parar
64.9,161.8,50,80,34,5,parar
65.62,161.4,50,80,34,19,parar
66.28,162.7,50,80,34,37,parar
66.94,163.1,50,80,34,22,parar
67.54,161.8,50,80,34,6,parar
68.14,161.0,50,80,35,7,parar
68.86,161.4,50,80,34,37,parar
69.46,161.8,50,80,34,28,parar
70.12,161.8,50,80,34,20,parar
70.72,161.4,50,80,34,42,parar
71.38,161.8,50,80,34,21,parar
71.98,162.2,50,80,34,16,parar
72.58,162.2,50,80,34,20,parar
73.3,161.8,50,80,34,16,parar
73.9,161.8,50,80,34,9,parar
74.62,162.2,50,80,34,8,parar
75.22,161.4,50,80,34,77,parar
75.88,161.4,50,80,34,48,parar
76.54,161.4,50,80,34,81,parar
77.2,160.5,50,80,34,26,parar
77.92,160.9,50,80,34,34,parar
78.58,161.4,50,80,34,12,parar
79.18,161.4,50,80,34,5,parar
79.78,161.4,50,80,34,16,parar
80.38,160.9,50,80,34,6,parar
81.16,161.4,50,80,34,8,parar
81.76,161.4,50,80,34,43,parar
82.42,161.4,50,80,34,20,parar
83.08,161.4,50,80,34,85,parar
83.68,161.4,50,80,34,9,parar
84.52,161.8,50,80,34,23,parar
85.18,162.2,50,80,34,24,parar
85.78,162.6,50,80,34,47,parar
86.38,161.4,50,80,34,58,parar
87.04,161.8,50,80,34,54,parar
87.7,161.4,50,80,35,27,parar
88.36,160.9,50,80,34,6,parar
89.08,161.0,50,80,34,12,parar
89.68,161.0,50,80,34,5,parar
90.46,161.4,50,80,34,6,parar
91.06,160.9,50,80,35,6,parar
91.84,160.9,50,80,35,4,parar
92.44,160.9,50,80,35,5,parar
93.22,160.9,50,80,35,3,parar
93.88,160.9,50,80,34,3,parar
94.54,160.9,50,80,34,6,parar
95.14,160.9,50,80,35,5,parar
95.8,160.5,50,80,34,3,parar
96.52,160.9,50,80,34,4,parar
97.12,160.9,50,80,35,3,parar
97.78,160.5,50,80,35,8,parar
98.38,160.9,50,80,35,3,parar
99.04,160.5,50,80,35,23,parar
99.88,160.9,50,80,35,12,parar
100.48,160.9,50,80,34,3,parar
101.2,160.9,50,80,35,4,parar
101.8,160.9,50,80,34,5,parar
102.4,161.8,50,80,34,6,parar
103.06,161.4,50,80,34,8,parar
103.66,162.2,50,80,35,11,parar
104.32,163.1,50,80,34,13,parar
104.98,162.3,50,80,34,7,parar
105.7,161.4,50,80,34,8,parar
106.3,161.4,50,80,34,6,parar
107.02,161.0,50,80,34,4,parar
107.68,161.0,50,80,35,24,parar
108.28,161.4,50,80,34,8,parar
109.0,161.4,50,80,35,6,parar
109.6,161.4,50,80,35,8,parar
110.2,161.0,50,80,34,5,parar
110.86,161.0,50,80,35,6,parar
111.52,160.9,50,80,34,6,parar
112.24,160.9,50,80,34,5,parar
112.84,161.4,50,80,35,9,parar
113.44,160.9,50,80,35,10,parar
114.1,160.9,50,80,34,12,parar
114.7,117.5,50,80,35,3,parar
115.36,161.4,50,80,35,4,parar
115.96,162.2,50,80,35,4,parar
116.56,161.4,50,80,35,7,parar
117.16,161.4,50,80,35,29,parar
117.82,117.1,50,80,35,15,parar
118.54,161.4,50,80,34,30,parar
119.2,161.4,50,80,34,30,parar
119.86,162.3,50,80,35,29,parar
120.52,161.4,50,80,34,24,parar
121.3,162.3,50,80,35,12,parar
121.9,161.8,50,80,35,10,parar
122.5,161.8,50,80,35,6,parar
123.16,161.8,50,80,35,7,parar
123.76,162.7,50,80,35,5,parar
124.42,162.7,50,80,35,3,parar
125.02,179.9,50,80,35,9,parar
125.74,162.7,50,80,34,25,parar
126.34,180.3,50,80,34,23,parar
127.0,180.3,50,80,35,42,parar
127.72,162.6,50,80,34,24,parar
128.32,162.6,50,80,35,22,parar
128.98,162.2,50,80,35,7,parar
129.64,162.2,50,80,35,3,parar
130.24,179.9,50,80,34,32,parar
130.9,180.4,50,80,35,36,parar
131.5,180.4,50,80,34,16,parar
132.1,180.4,50,80,35,36,parar
132.76,180.0,50,80,35,31,parar
133.42,180.4,50,80,35,25,parar
134.08,163.5,50,80,35,10,parar
134.68,163.1,50,80,35,8,parar
135.28,163.5,50,80,35,5,parar
135.88,162.2,50,80,35,25,parar
136.6,162.2,50,80,35,21,parar
137.26,161.8,50,80,35,10,parar
137.86,161.4,50,80,34,7,parar
138.46,160.9,50,80,35,3,parar
139.12,161.4,50,80,34,11,parar
139.72,161.4,50,80,34,4,parar
140.38,161.4,50,80,33,4,parar
141.04,161.4,50,80,34,41,parar
141.82,161.4,50,80,33,3,parar
142.42,161.0,50,80,34,2,parar
143.02,161.4,50,80,34,6,parar
143.68,161.4,50,80,35,4,parar
144.34,161.0,50,80,35,5,parar
145.06,161.4,50,80,35,3,parar
145.72,161.0,50,80,35,2,parar
146.5,160.9,50,80,35,2,parar
147.1,160.9,50,80,35,3,parar
147.7,160.9,50,80,35,3,parar
148.3,160.9,50,80,35,12,parar
148.9,160.9,50,80,35,10,parar
149.68,161.4,50,80,35,7,parar
150.34,161.4,50,80,35,18,parar
151.0,161.4,50,80,35,9,parar
151.6,160.9,50,80,35,24,parar
152.2,161.4,50,80,35,31,parar
152.92,160.9,50,80,35,21,parar
153.64,160.9,50,80,35,15,parar
154.42,161.4,50,80,35,47,parar
155.08,161.8,50,80,35,57,parar
155.68,162.2,50,80,35,26,parar
156.28,161.8,50,80,35,18,parar
156.88,162.2,50,80,35,8,parar
157.48,162.6,50,80,35,8,parar
158.14,162.7,50,80,35,14,parar
158.8,163.5,50,80,35,18,parar
159.46,162.7,50,80,35,24,parar
160.12,162.7,50,80,35,16,parar
160.72,162.7,50,80,35,17,parar
161.32,162.2,50,80,35,14,parar
161.92,162.2,50,80,35,8,parar
162.52,162.2,50,80,35,16,parar
163.12,161.4,50,80,35,5,parar
163.78,161.4,50,80,34,8,parar
164.56,161.4,50,80,34,6,parar
165.22,161.4,50,80,35,6,parar
165.88,160.9,50,80,35,38,parar
166.48,161.3,50,80,35,27,parar
167.14,161.4,50,80,35,34,parar
167.8,161.4,50,80,35,7,parar
168.46,162.2,50,80,35,13,parar
169.06,161.8,50,80,34,9,parar
169.72,161.8,50,80,34,6,parar
170.32,162.2,50,80,35,7,parar
170.92,161.8,50,80,35,19,parar
171.58,161.4,50,80,35,29,parar
172.18,161.4,50,80,35,15,parar
172.84,161.8,50,80,34,14,parar
173.5,161.3,50,80,35,4,parar
174.1,161.3,50,80,35,9,parar
174.82,161.3,50,80,35,11,parar
