tiempo_s,modo,distancia_cm,offset,velocidad,bateria
0.51,detenido,--,--,50,--
1.01,detenido,--,--,50,--
1.51,detenido,--,--,50,--
2.18,detenido,--,--,50,60
2.71,detenido,--,--,50,60
3.22,detenido,--,--,50,60
3.72,detenido,--,--,50,60
4.77,pista,--,recto,50,60
5.32,pista,--,recto,50,60
6.03,pista,--,perdida,50,60
6.64,pista,--,perdida,50,60
7.47,pista,--,perdida,50,60
8.13,pista,--,perdida,50,60
8.68,pista,--,perdida,50,60
9.57,pista,--,perdida,50,60
10.18,pista,--,perdida,50,60
10.78,pista,--,perdida,50,60
11.56,pista,--,perdida,50,60
12.15,pista,--,perdida,50,60
12.7,pista,--,perdida,50,60
13.35,pista,--,perdida,50,60
14.07,pista,--,perdida,50,60
14.61,pista,--,perdida,50,60
15.33,pista,--,perdida,50,60
15.94,pista,--,recto,50,60
16.72,pista,--,recto,50,60
17.32,pista,--,perdida,50,60
17.85,pista,--,perdida,50,60
18.45,pista,--,perdida,50,60
19.23,pista,--,perdida,50,60
