tiempo_s,distancia_cm,velocidad,bateria,luz,sonido,accion
0.61,300.0,50,80,47,16,parar
1.12,300.0,50,80,47,12,parar
1.78,300.0,50,80,47,9,parar
2.38,300.0,50,80,47,7,parar
3.04,300.0,50,80,47,8,parar
3.64,300.0,50,80,47,15,parar
4.24,300.0,50,80,47,5,parar
4.9,300.0,70,80,47,27,parar
5.71,300.0,120,80,47,22,parar
6.4,300.0,160,80,47,5,parar
7.12,300.0,200,80,47,5,parar
7.84,300.0,250,80,47,5,parar
8.5,300.0,280,80,47,4,parar
9.16,300.0,300,80,47,21,parar
9.82,300.0,300,80,47,21,parar
10.48,300.0,300,80,47,15,parar
11.14,300.0,300,80,47,18,parar
11.84,300.0,300,80,38,68,adelante
12.58,300.0,300,80,39,91,adelante
13.21,300.0,300,80,36,75,izquierda
13.94,300.0,300,70,33,63,adelante
14.68,300.0,300,80,37,88,adelante
15.43,300.0,300,70,39,79,izquierda
16.12,71.4,300,80,39,83,izquierda
16.81,246.9,300,80,37,85,adelante
17.6,300.0,300,80,28,8,parar
18.32,300.0,300,70,25,79,derecha
19.1,300.0,300,70,31,95,atras
19.81,300.0,300,80,27,12,parar
20.54,300.0,300,70,22,66,adelante
21.19,300.0,300,80,40,80,izquierda
21.88,300.0,300,70,35,83,izquierda
22.52,300.0,300,80,35,10,parar
23.2,169.2,320,80,35,40,parar
23.86,169.2,370,80,36,12,parar
24.64,169.2,410,80,35,24,parar
25.24,169.2,450,80,35,9,parar
25.9,169.1,480,80,35,22,parar
26.56,169.1,480,80,35,41,parar
27.31,150.0,480,80,35,77,adelante
28.21,9.2,480,70,25,99,izquierda
28.93,26.5,480,80,27,6,parar
29.56,300.0,480,80,26,8,parar
30.22,300.0,480,80,26,8,parar
30.88,300.0,480,80,26,25,parar
31.6,300.0,480,80,26,18,parar
32.38,300.0,480,80,26,25,parar
33.1,300.0,480,80,27,25,parar
33.82,300.0,480,80,28,21,parar
34.54,300.0,480,80,29,31,parar
35.32,300.0,480,80,29,36,parar
35.96,300.0,480,70,30,99,derecha
36.67,27.0,480,80,28,7,parar
37.6,300.0,480,80,26,14,parar
38.2,300.0,480,80,25,6,parar
38.9,300.0,480,60,19,45,adelante
39.55,300.0,480,80,37,2,parar
40.39,300.0,480,70,26,100,adelante
41.14,300.0,480,80,40,95,adelante
41.8,300.0,480,80,39,93,adelante
42.46,283.4,480,80,38,91,adelante
43.28,222.8,480,80,42,84,derecha
44.08,300.0,480,80,38,99,derecha
44.78,300.0,480,80,45,87,adelante
45.49,300.0,480,80,40,0,parar
46.15,300.0,480,80,45,89,izquierda
46.9,160.0,480,80,42,85,izquierda
47.5,196.3,480,80,41,52,izquierda
48.2,300.0,480,70,37,79,adelante
48.88,300.0,480,80,30,77,adelante
49.69,164.1,480,70,41,80,izquierda
50.32,300.0,480,70,43,100,izquierda
51.01,300.0,480,80,40,89,adelante
51.82,300.0,480,80,50,92,adelante
52.6,300.0,480,80,49,51,adelante
53.23,92.6,480,70,43,56,izquierda
53.86,300.0,480,70,40,92,izquierda
54.61,177.2,480,70,38,95,adelante
55.34,134.9,480,80,46,49,derecha
56.08,119.4,480,80,45,74,derecha
56.9,100.7,480,80,44,100,adelante
57.55,238.3,480,80,45,8,parar
58.24,156.5,480,80,45,64,parar
58.87,156.0,480,70,45,84,atras
59.62,179.8,480,80,43,94,atras
60.32,284.7,480,80,37,3,parar
60.94,300.0,480,80,41,13,parar
61.72,258.2,480,80,42,72,parar
62.44,258.7,480,80,42,8,parar
63.1,258.2,480,80,41,45,parar
63.82,258.2,480,80,42,37,parar
64.48,258.3,480,80,42,24,parar
65.14,258.3,480,80,42,7,parar
65.74,257.8,480,80,42,48,parar
66.34,258.3,480,80,42,53,parar
67.0,257.9,480,80,42,8,parar
67.6,257.9,480,80,42,3,parar
68.32,257.9,480,80,42,3,parar
68.98,257.9,480,80,42,29,parar
69.64,258.3,480,80,42,26,parar
70.3,258.3,480,80,42,15,parar
70.96,258.3,480,80,42,21,parar
71.8,258.7,480,80,42,7,parar
72.4,258.3,480,80,42,11,parar
73.06,258.3,480,80,42,11,parar
73.66,258.3,480,80,42,21,parar
74.26,258.2,480,80,42,7,parar
74.92,258.2,480,80,42,5,parar
