tiempo_s,distancia_cm,velocidad,bateria,luz,sonido,accion
75.52,258.2,480,80,41,5,parar
76.27,257.8,480,70,41,74,atras
76.9,300.0,480,80,45,100,atras
77.56,300.0,480,80,45,97,atras
78.2,300.0,480,70,43,89,derecha
78.86,172.1,480,80,43,5,parar
79.51,300.0,480,70,43,92,adelante
80.14,300.0,480,80,50,93,adelante
80.89,300.0,480,60,37,88,atras
81.58,300.0,480,70,47,71,atras
82.24,129.7,480,80,47,92,atras
82.93,300.0,480,50,46,79,adelante
83.56,300.0,480,70,44,77,adelante
84.31,157.2,480,80,39,0,parar
85.04,300.0,480,80,40,88,atras
85.82,59.6,480,80,39,0,parar
86.44,300.0,480,80,44,0,parar
87.13,300.0,480,80,42,92,izquierda
87.82,122.8,480,70,42,98,izquierda
88.48,80.4,480,70,43,78,izquierda
89.26,300.0,480,70,42,98,izquierda
89.96,123.2,480,80,41,4,parar
90.58,200.0,480,80,41,49,parar
91.18,201.3,480,80,41,31,parar
91.84,300.0,480,80,41,32,parar
92.5,300.0,480,80,42,19,parar
93.16,300.0,480,80,42,35,parar
93.88,300.0,480,80,42,55,parar
94.48,300.0,480,80,42,28,parar
95.2,300.0,480,80,42,43,parar
95.92,300.0,480,80,42,11,parar
96.58,300.0,480,80,41,13,parar
97.42,300.0,480,80,42,38,parar
98.08,300.0,480,80,42,70,parar
98.68,300.0,480,80,42,31,parar
99.46,300.0,480,80,42,18,parar
100.06,300.0,480,80,42,39,parar
100.72,300.0,480,80,42,39,parar
101.38,300.0,480,80,42,8,parar
101.98,300.0,480,80,42,39,parar
102.7,300.0,480,80,42,26,parar
103.3,300.0,480,80,42,30,parar
