tiempo_s,modo,distancia_cm,offset,velocidad,bateria
0.53,detenido,--,--,50,--
1.03,detenido,--,--,50,--
1.54,detenido,--,--,50,--
2.23,detenido,--,--,50,50
2.73,detenido,--,--,50,50
3.23,detenido,--,--,50,50
4.22,pista,--,recto,50,50
5.06,pista,--,recto,50,50
5.61,pista,--,recto,50,50
6.2,pista,--,recto,50,50
6.86,pista,--,recto,50,50
7.75,pista,--,perdida,50,50
8.3,pista,--,izquierda,50,50
8.84,pista,--,izquierda,50,50
9.5,pista,--,recto,50,50
10.28,pista,--,derecha,50,50
10.82,pista,--,recto,50,50
11.35,pista,--,recto,50,50
11.96,pista,--,recto,50,50
12.79,pista,--,recto,50,50
13.34,pista,--,recto,50,50
13.94,pista,--,recto,50,50
14.48,pista,--,derecha,50,50
15.32,pista,--,perdida,50,50
15.98,pista,--,recto,50,50
16.51,pista,--,recto,50,50
17.24,pista,--,recto,50,50
17.84,pista,--,recto,50,50
18.44,pista,--,derecha,50,50
19.1,pista,--,derecha,50,50
19.94,pista,--,recto,50,50
20.47,pista,--,perdida,50,50
21.72,pista,--,blue,50,50
22.46,pista,--,recto,50,50
23.0,pista,--,derecha,50,50
23.66,pista,--,derecha,50,50
24.19,pista,--,recto,50,50
25.15,pista,--,recto,50,50
25.7,pista,--,recto,50,50
26.23,pista,--,recto,50,50
27.02,pista,--,recto,50,50
27.68,pista,--,derecha,50,50
28.27,pista,--,derecha,50,50
29.06,pista,--,recto,50,50
29.6,pista,--,recto,50,50
30.2,pista,--,recto,50,50
30.92,pista,--,recto,50,50
31.82,pista,--,perdida,50,50
32.41,pista,--,perdida,50,50
33.02,pista,--,perdida,50,50
33.79,pista,--,perdida,50,50
34.34,pista,--,perdida,50,50
35.0,pista,--,perdida,50,50
35.55,pista,--,perdida,50,50
36.38,pista,--,perdida,50,50
36.97,pista,--,perdida,50,50
37.52,pista,--,perdida,50,50
38.05,pista,--,perdida,50,50
38.84,pista,--,perdida,50,50
39.43,pista,--,perdida,50,50
39.98,pista,--,perdida,50,50
40.58,pista,--,perdida,50,50
41.36,pista,--,perdida,50,50
41.96,pista,--,perdida,50,50
42.68,pista,--,perdida,50,50
43.52,pista,--,perdida,50,50
44.12,pista,--,perdida,50,50
44.77,pista,--,perdida,50,50
45.56,pista,--,perdida,50,50
46.22,pista,--,perdida,50,50
46.76,pista,--,perdida,50,50
47.42,pista,--,perdida,50,50
48.31,pista,--,perdida,50,50
48.92,pista,--,perdida,50,50
49.52,pista,--,perdida,50,50
50.42,pista,--,perdida,50,50
51.02,pista,--,perdida,50,50
51.61,pista,--,perdida,50,50
52.41,pista,--,perdida,50,50
53.0,pista,--,perdida,50,50
53.6,pista,--,perdida,50,50
54.2,pista,--,perdida,50,50
54.97,pista,--,perdida,50,50
55.58,pista,--,perdida,50,50
56.17,pista,--,perdida,50,50
56.84,pista,--,perdida,50,50
57.73,pista,--,perdida,50,50
58.28,pista,--,perdida,50,50
58.87,pista,--,perdida,50,50
59.78,pista,--,perdida,50,50
60.37,pista,--,perdida,50,50
60.92,pista,--,perdida,50,50
61.76,pista,--,perdida,50,50
62.29,pista,--,perdida,50,50
62.97,pista,--,perdida,50,50
63.79,pista,--,perdida,50,50
64.34,pista,--,perdida,50,50
64.87,pista,--,perdida,50,50
65.6,pista,--,perdida,50,50
66.44,pista,--,perdida,50,50
66.97,pista,--,perdida,50,50
67.58,pista,--,perdida,50,50
68.12,pista,--,perdida,50,50
68.96,pista,--,perdida,50,50
69.56,pista,--,perdida,50,50
70.09,pista,--,recto,50,50
70.81,pista,--,recto,50,50
71.77,pista,--,recto,50,50
73.03,pista,--,blue,50,50
73.82,pista,--,recto,50,50
74.47,pista,--,recto,50,50
75.69,pista,--,green,50,50
76.51,pista,--,perdida,50,50
77.12,pista,--,derecha,50,50
77.72,pista,--,recto,50,50
79.26,pista,--,yellow,50,50
79.87,pista,--,yellow,50,50
80.78,pista,--,izquierda,50,50
83.03,pista,--,red,50,50
83.77,pista,--,red,50,50
84.32,pista,--,recto,50,50
84.98,pista,--,recto,50,50
85.57,pista,--,recto,50,50
86.35,pista,--,recto,50,50
87.01,pista,--,derecha,50,50
87.73,pista,--,perdida,50,50
88.51,pista,--,recto,50,50
89.12,pista,--,recto,50,50
89.65,pista,--,derecha,50,50
90.2,pista,--,derecha,50,50
91.03,pista,--,recto,50,50
91.57,pista,--,perdida,50,50
92.29,pista,--,perdida,50,50
93.01,pista,--,perdida,50,50
93.55,pista,--,perdida,50,50
94.21,pista,--,perdida,50,50
94.76,pista,--,perdida,50,50
95.6,pista,--,perdida,50,50
96.26,pista,--,perdida,50,50
96.98,pista,--,perdida,50,50
97.76,pista,--,perdida,50,50
98.41,pista,--,perdida,50,50
99.01,pista,--,perdida,50,50
99.79,pista,--,perdida,50,50
100.52,pista,--,perdida,50,50
101.18,pista,--,perdida,50,50
102.07,pista,--,perdida,50,50
102.68,pista,--,perdida,50,50
103.34,pista,--,perdida,50,50
104.23,pista,--,perdida,50,50
104.84,pista,--,perdida,50,50
105.37,pista,--,perdida,50,50
106.33,pista,--,perdida,50,50
106.99,pista,--,perdida,50,50
107.65,pista,--,perdida,50,50
108.37,pista,--,perdida,50,50
108.91,pista,--,perdida,50,50
109.57,pista,--,perdida,50,50
110.18,pista,--,perdida,50,50
111.01,pista,--,perdida,50,50
111.73,pista,--,perdida,50,50
112.28,pista,--,perdida,50,50
112.85,manual,300.0,--,50,50
113.44,manual,300.0,--,50,50
114.07,manual,300.0,--,50,50
114.68,manual,300.0,--,50,50
115.24,manual,51.3,--,50,50
115.78,manual,100.4,--,50,50
116.32,manual,300.0,--,50,50
116.89,manual,300.0,--,50,50
117.49,manual,96.1,--,50,50
118.0,manual,206.0,--,50,50
118.57,manual,101.6,--,50,50
119.18,manual,222.3,--,50,50
119.8,manual,223.4,--,50,50
120.37,manual,221.0,--,50,50
121.1,manual,35.2,--,50,50
121.66,manual,48.9,--,50,50
122.2,manual,300.0,--,50,50
122.8,manual,300.0,--,50,50
123.4,manual,300.0,--,50,50
123.94,manual,300.0,--,50,50
124.48,manual,122.2,--,50,50
125.02,manual,300.0,--,50,50
125.62,manual,300.0,--,50,50
126.22,manual,300.0,--,50,50
126.76,manual,300.0,--,50,50
127.42,manual,300.0,--,50,50
