tiempo_s,modo,distancia_cm,offset,velocidad,bateria
0.5,detenido,--,--,50,--
1.0,detenido,--,--,50,--
1.5,detenido,--,--,50,--
2.01,detenido,--,--,50,50
2.51,detenido,--,--,50,50
3.01,detenido,--,--,50,50
3.51,detenido,--,--,50,50
4.01,detenido,--,--,50,50
4.53,detenido,--,--,50,50
5.03,detenido,--,--,50,50
5.53,detenido,--,--,50,50
6.04,detenido,--,--,50,50
6.54,detenido,--,--,50,50
7.07,detenido,--,--,50,50
7.58,detenido,--,--,50,50
8.29,detenido,--,--,50,50
9.26,pista,--,recto,50,50
9.79,pista,--,recto,50,50
10.34,pista,--,recto,50,50
11.17,pista,--,recto,50,50
11.78,pista,--,perdida,50,50
12.31,pista,--,izquierda,50,50
12.92,pista,--,izquierda,50,50
13.69,pista,--,perdida,50,50
14.24,pista,--,perdida,50,50
14.9,pista,--,perdida,50,50
15.55,pista,--,perdida,50,50
16.34,pista,--,perdida,50,50
16.99,pista,--,perdida,50,50
17.66,pista,--,perdida,50,50
18.43,pista,--,perdida,50,50
19.04,pista,--,perdida,50,50
19.57,pista,--,perdida,50,50
20.12,pista,--,perdida,50,50
21.02,pista,--,perdida,50,50
21.56,pista,--,perdida,50,50
22.22,pista,--,perdida,50,50
23.06,pista,--,perdida,50,50
23.72,pista,--,perdida,50,50
24.31,pista,--,perdida,50,50
25.09,pista,--,perdida,50,50
25.64,pista,--,perdida,50,50
26.24,pista,--,perdida,50,50
26.84,pista,--,perdida,50,50
27.62,pista,--,perdida,50,50
28.21,pista,--,perdida,50,50
28.87,pista,--,perdida,50,50
29.59,pista,--,perdida,50,50
30.31,pista,--,perdida,50,50
30.92,pista,--,perdida,50,50
31.69,pista,--,perdida,50,50
32.24,pista,--,perdida,50,50
32.84,pista,--,perdida,50,50
33.44,pista,--,perdida,50,50
34.27,pista,--,perdida,50,50
34.94,pista,--,perdida,50,50
35.48,pista,--,perdida,50,50
36.32,pista,--,perdida,50,50
36.85,pista,--,perdida,50,50
37.46,pista,--,perdida,50,50
38.01,pista,--,perdida,50,50
38.77,pista,--,perdida,50,50
39.32,pista,--,perdida,50,50
39.86,pista,--,perdida,50,50
40.45,pista,--,perdida,50,50
41.29,pista,--,perdida,50,50
41.84,pista,--,perdida,50,50
42.43,pista,--,perdida,50,50
42.98,pista,--,perdida,50,50
43.75,pista,--,perdida,50,50
44.36,pista,--,perdida,50,50
44.9,pista,--,perdida,50,50
45.44,pista,--,perdida,50,50
46.34,pista,--,perdida,50,50
46.87,pista,--,perdida,50,50
47.42,pista,--,perdida,50,50
48.08,pista,--,perdida,50,50
48.91,pista,--,perdida,50,50
49.52,pista,--,perdida,50,50
50.11,pista,--,perdida,50,50
50.9,pista,--,perdida,50,50
51.44,pista,--,perdida,50,50
52.1,pista,--,perdida,50,50
52.7,pista,--,perdida,50,50
53.53,pista,--,perdida,50,50
54.08,pista,--,perdida,50,50
54.61,pista,--,perdida,50,50
55.21,pista,--,perdida,50,50
56.0,pista,--,perdida,50,50
56.59,pista,--,perdida,50,50
57.14,pista,--,perdida,50,50
57.73,pista,--,perdida,50,50
58.58,pista,--,perdida,50,50
59.24,pista,--,perdida,50,50
59.77,pista,--,perdida,50,50
60.61,pista,--,perdida,50,50
61.22,pista,--,perdida,50,50
61.82,pista,--,perdida,50,50
62.6,pista,--,perdida,50,50
63.26,pista,--,perdida,50,50
63.85,pista,--,perdida,50,50
64.63,pista,--,perdida,50,50
65.24,pista,--,perdida,50,50
65.78,pista,--,perdida,50,50
66.32,pista,--,perdida,50,50
67.09,pista,--,perdida,50,50
67.75,pista,--,perdida,50,50
68.3,pista,--,perdida,50,50
68.89,pista,--,perdida,50,50
69.62,pista,--,perdida,50,50
70.15,pista,--,perdida,50,50
70.76,pista,--,perdida,50,50
71.36,pista,--,perdida,50,50
72.14,pista,--,perdida,50,50
72.73,pista,--,perdida,50,50
73.4,pista,--,perdida,50,50
74.29,pista,--,perdida,50,50
74.95,pista,--,perdida,50,50
75.61,pista,--,perdida,50,50
76.52,pista,--,perdida,50,50
77.17,pista,--,perdida,50,50
77.72,pista,--,perdida,50,50
78.56,pista,--,perdida,50,50
79.09,pista,--,perdida,50,50
79.64,pista,--,perdida,50,50
80.23,pista,--,perdida,50,50
81.02,pista,--,perdida,50,50
81.55,pista,--,perdida,50,50
82.16,pista,--,perdida,50,50
82.75,pista,--,perdida,50,50
83.59,pista,--,perdida,50,50
84.19,pista,--,perdida,50,50
84.73,pista,--,perdida,50,50
85.28,pista,--,perdida,50,50
86.0,pista,--,perdida,50,50
86.72,pista,--,perdida,50,50
87.25,pista,--,perdida,50,50
87.85,pista,--,perdida,50,50
88.57,pista,--,perdida,50,50
89.18,pista,--,perdida,50,50
89.77,pista,--,perdida,50,50
90.38,pista,--,perdida,50,50
91.15,pista,--,perdida,50,50
91.76,pista,--,perdida,50,50
92.35,pista,--,perdida,50,50
93.01,pista,--,recto,50,50
93.85,pista,--,perdida,50,50
94.4,pista,--,perdida,50,50
94.93,pista,--,recto,50,50
95.48,pista,--,recto,50,50
96.31,pista,--,recto,50,50
96.86,pista,--,perdida,50,50
97.51,pista,--,izquierda,50,50
98.23,pista,--,izquierda,50,50
98.83,pista,--,perdida,50,50
99.37,pista,--,perdida,50,50
99.97,pista,--,perdida,50,50
103.69,pista,--,perdida,50,50
104.54,pista,--,perdida,50,50
105.13,pista,--,perdida,50,50
105.74,pista,--,perdida,50,50
106.57,pista,--,perdida,50,50
107.24,pista,--,perdida,50,50
107.77,pista,--,perdida,50,50
108.62,pista,--,perdida,50,50
109.21,pista,--,perdida,50,50
109.8,pista,--,perdida,50,50
110.59,pista,--,perdida,50,50
111.2,pista,--,perdida,50,50
111.73,pista,--,perdida,50,50
112.27,pista,--,perdida,50,50
113.05,pista,--,perdida,50,50
113.6,pista,--,perdida,50,50
114.14,pista,--,perdida,50,50
114.79,pista,--,perdida,50,50
115.63,pista,--,perdida,50,50
116.24,pista,--,perdida,50,50
116.83,pista,--,perdida,50,50
117.61,pista,--,perdida,50,50
118.15,pista,--,perdida,50,50
118.75,pista,--,perdida,50,50
119.29,pista,--,perdida,50,50
120.01,pista,--,perdida,50,50
120.55,pista,--,perdida,50,50
121.15,pista,--,perdida,50,50
121.75,pista,--,perdida,50,50
122.6,pista,--,perdida,50,50
123.13,pista,--,perdida,50,50
123.67,pista,--,perdida,50,50
124.21,pista,--,perdida,50,50
124.99,pista,--,perdida,50,50
125.53,pista,--,perdida,50,50
126.13,pista,--,perdida,50,50
126.74,pista,--,perdida,50,50
127.52,pista,--,perdida,50,50
128.11,pista,--,perdida,50,50
128.7,pista,--,perdida,50,50
129.25,pista,--,perdida,50,50
130.09,pista,--,perdida,50,50
130.69,pista,--,perdida,50,50
131.3,pista,--,perdida,50,50
132.06,pista,--,perdida,50,50
132.68,pista,--,perdida,50,50
133.27,pista,--,perdida,50,50
133.87,pista,--,perdida,50,50
134.65,pista,--,perdida,50,50
135.26,pista,--,perdida,50,50
135.79,pista,--,perdida,50,50
136.45,pista,--,perdida,50,50
137.15,pista,--,perdida,50,50
137.72,pista,--,perdida,50,50
138.31,pista,--,perdida,50,50
138.85,pista,--,perdida,50,50
139.75,pista,--,perdida,50,50
140.41,pista,--,perdida,50,50
141.02,pista,--,perdida,50,50
