tiempo_s,modo,distancia_cm,offset,velocidad,bateria
0.51,detenido,--,--,50,--
1.01,detenido,--,--,50,--
1.88,pista,--,recto,50,--
2.42,pista,--,recto,50,50
3.25,pista,--,recto,50,50
3.92,pista,--,recto,50,50
4.46,pista,--,recto,50,50
5.3,pista,--,recto,50,50
5.9,pista,--,recto,50,50
6.44,pista,--,recto,50,50
7.16,pista,--,recto,50,50
8.05,pista,--,recto,50,50
8.67,pista,--,derecha,50,50
9.26,pista,--,perdida,50,50
10.09,pista,--,recto,50,50
10.7,pista,--,recto,50,50
11.3,pista,--,derecha,50,50
12.08,pista,--,derecha,50,50
12.67,pista,--,recto,50,50
13.4,pista,--,recto,50,50
14.17,pista,--,derecha,50,50
14.84,pista,--,recto,50,50
15.44,pista,--,recto,50,50
16.15,pista,--,derecha,50,50
16.87,pista,--,derecha,50,50
17.42,pista,--,perdida,50,50
18.01,pista,--,recto,50,50
18.79,pista,--,recto,50,50
19.4,pista,--,derecha,50,50
19.94,pista,--,derecha,50,50
20.53,pista,--,recto,50,50
21.86,pista,--,blue,50,50
22.45,pista,--,blue,50,50
23.11,pista,--,blue,50,50
