tiempo_s,modo,distancia_cm,offset,velocidad,bateria
0.52,pista,--,recto,50,--
1.03,pista,--,recto,50,--
1.64,pista,--,recto,50,--
2.17,pista,--,recto,50,50
2.89,pista,--,perdida,50,50
3.62,pista,--,izquierda,50,50
4.16,pista,--,izquierda,50,50
4.69,pista,--,izquierda,50,50
5.48,pista,--,izquierda,50,50
6.02,pista,--,izquierda,50,50
6.57,pista,--,izquierda,50,50
7.16,pista,--,perdida,50,50
7.95,pista,--,perdida,50,50
8.48,pista,--,perdida,50,50
9.01,pista,--,perdida,50,50
9.63,pista,--,perdida,50,50
10.4,pista,--,perdida,50,50
10.99,pista,--,perdida,50,50
11.6,pista,--,perdida,50,50
12.13,pista,--,perdida,50,50
12.85,pista,--,perdida,50,50
13.45,pista,--,perdida,50,50
14.11,pista,--,perdida,50,50
14.66,pista,--,perdida,50,50
15.51,pista,--,perdida,50,50
16.1,pista,--,perdida,50,50
16.69,pista,--,perdida,50,50
17.54,pista,--,perdida,50,50
18.13,pista,--,perdida,50,50
18.74,pista,--,perdida,50,50
19.51,pista,--,perdida,50,50
20.12,pista,--,perdida,50,50
20.66,pista,--,perdida,50,50
21.26,pista,--,perdida,50,50
