tiempo_s,modo,distancia_cm,offset,velocidad,bateria
0.51,detenido,--,--,50,--
1.04,detenido,--,--,50,--
1.57,detenido,--,--,50,--
2.18,detenido,--,--,50,60
2.68,detenido,--,--,50,60
3.81,pista,--,recto,50,60
4.53,pista,--,recto,50,60
5.31,pista,--,perdida,50,60
5.92,pista,--,perdida,50,60
6.51,pista,--,perdida,50,60
7.12,pista,--,perdida,50,60
8.07,pista,--,perdida,50,60
8.62,pista,--,perdida,50,60
9.21,pista,--,perdida,50,60
10.1,pista,--,perdida,50,60
10.78,pista,--,perdida,50,60
11.37,pista,--,perdida,50,60
12.21,pista,--,perdida,50,60
12.81,pista,--,perdida,50,60
13.47,pista,--,perdida,50,60
