tiempo_s,modo,distancia_cm,offset,velocidad,bateria
0.54,manual,300.0,--,50,--
1.14,manual,300.0,--,50,--
1.74,manual,300.0,--,50,--
2.97,pista,--,perdida,50,40
3.6,pista,--,perdida,50,40
4.2,pista,--,perdida,50,40
4.98,pista,--,perdida,50,40
5.64,pista,--,perdida,50,40
6.25,pista,--,perdida,50,40
7.14,pista,--,perdida,50,40
7.74,pista,--,perdida,50,40
8.35,pista,--,perdida,50,40
9.18,pista,--,perdida,50,40
9.85,pista,--,perdida,50,40
10.45,pista,--,perdida,50,40
11.23,pista,--,perdida,50,40
11.89,pista,--,perdida,50,40
12.52,pista,--,derecha,50,40
13.29,pista,--,recto,50,40
13.83,pista,--,recto,50,40
14.5,pista,--,recto,50,40
15.1,pista,--,recto,50,40
15.81,pista,--,recto,50,40
16.46,pista,--,recto,50,40
17.65,pista,--,blue,50,40
18.39,pista,--,recto,50,40
18.93,pista,--,recto,50,40
19.48,pista,--,recto,50,40
20.75,pista,--,green,50,40
21.52,pista,--,recto,50,40
22.17,pista,--,recto,50,40
23.47,pista,--,yellow,50,40
24.39,pista,--,recto,50,40
26.59,pista,--,red,50,40
27.39,pista,--,red,50,40
27.99,pista,--,recto,50,40
28.54,pista,--,recto,50,40
29.13,pista,--,recto,50,40
29.97,pista,--,recto,50,40
30.57,pista,--,recto,50,40
31.11,pista,--,recto,50,40
31.71,pista,--,derecha,50,40
32.43,pista,--,derecha,50,40
32.97,pista,--,recto,50,40
33.63,pista,--,recto,50,40
34.18,pista,--,recto,50,40
34.96,pista,--,derecha,50,40
35.56,pista,--,derecha,50,40
36.09,pista,--,recto,50,40
36.7,pista,--,recto,50,40
37.46,pista,--,derecha,50,40
38.02,pista,--,derecha,50,40
38.55,pista,--,recto,50,40
39.09,pista,--,recto,50,40
39.92,pista,--,derecha,50,40
40.47,pista,--,derecha,50,40
41.01,pista,--,recto,50,40
41.62,pista,--,recto,50,40
42.4,pista,--,recto,50,40
42.99,pista,--,derecha,50,40
45.23,pista,--,red,50,40
46.11,pista,--,red,50,40
46.66,pista,--,derecha,50,40
47.25,pista,--,derecha,50,40
48.03,pista,--,recto,50,40
48.63,pista,--,izquierda,50,40
49.29,pista,--,izquierda,50,40
50.07,pista,--,recto,50,40
50.64,pista,--,perdida,50,40
51.25,pista,--,perdida,50,40
51.9,pista,--,perdida,50,40
52.68,pista,--,perdida,50,40
53.28,pista,--,perdida,50,40
53.89,pista,--,perdida,50,40
54.48,pista,--,perdida,50,40
55.27,pista,--,perdida,50,40
55.86,pista,--,perdida,50,40
56.46,pista,--,perdida,50,40
57.12,pista,--,perdida,50,40
57.85,pista,--,perdida,50,40
58.44,pista,--,perdida,50,40
59.1,pista,--,perdida,50,40
59.7,pista,--,perdida,50,40
60.48,pista,--,perdida,50,40
61.09,pista,--,perdida,50,40
61.75,pista,--,perdida,50,40
62.59,pista,--,perdida,50,40
63.19,pista,--,perdida,50,40
63.78,pista,--,perdida,50,40
64.63,pista,--,perdida,50,40
65.23,pista,--,perdida,50,40
65.83,pista,--,perdida,50,40
66.66,pista,--,perdida,50,40
67.33,pista,--,perdida,50,40
