tiempo_s,modo,distancia_cm,offset,velocidad,bateria
0.51,detenido,--,--,50,--
1.04,detenido,--,--,50,--
1.56,detenido,--,--,50,--
2.19,detenido,--,--,50,60
2.69,detenido,--,--,50,60
3.22,detenido,--,--,50,60
3.75,detenido,--,--,50,60
4.48,pista,--,recto,50,60
5.25,pista,--,perdida,50,60
5.86,pista,--,perdida,50,60
6.51,pista,--,perdida,50,60
7.29,pista,--,perdida,50,60
7.83,pista,--,perdida,50,60
8.49,pista,--,izquierda,50,60
9.03,pista,--,recto,50,60
9.81,pista,--,perdida,50,60
10.48,pista,--,perdida,50,60
11.01,pista,--,perdida,50,60
11.61,pista,--,perdida,50,60
12.39,pista,--,perdida,50,60
12.99,pista,--,perdida,50,60
13.53,pista,--,perdida,50,60
14.19,pista,--,perdida,50,60
15.03,pista,--,perdida,50,60
15.7,pista,--,perdida,50,60
16.35,pista,--,perdida,50,60
17.13,pista,--,perdida,50,60
17.85,pista,--,perdida,50,60
18.39,pista,--,perdida,50,60
19.17,pista,--,perdida,50,60
19.82,pista,--,perdida,50,60
20.43,pista,--,perdida,50,60
21.22,pista,--,perdida,50,60
21.81,pista,--,perdida,50,60
22.35,pista,--,perdida,50,60
22.89,pista,--,perdida,50,60
23.73,pista,--,perdida,50,60
24.27,pista,--,perdida,50,60
24.88,pista,--,perdida,50,60
25.6,pista,--,perdida,50,60
26.43,pista,--,perdida,50,60
27.1,pista,--,perdida,50,60
