tiempo_s,modo,distancia_cm,offset,velocidad,bateria
0.51,detenido,--,--,50,--
1.01,detenido,--,--,50,--
1.54,detenido,--,--,50,--
2.29,detenido,--,--,50,50
2.83,detenido,--,--,50,50
3.33,detenido,--,--,50,50
3.83,detenido,--,--,50,50
4.35,detenido,--,--,50,50
4.85,detenido,--,--,50,50
5.38,detenido,--,--,50,50
6.43,pista,--,recto,50,50
7.22,pista,--,recto,50,50
7.82,pista,--,recto,50,50
8.48,pista,--,recto,50,50
9.27,pista,--,recto,50,50
9.8,pista,--,izquierda,50,50
10.43,pista,--,perdida,50,50
11.05,pista,--,recto,50,50
11.83,pista,--,recto,50,50
12.49,pista,--,recto,50,50
13.1,pista,--,recto,50,50
13.88,pista,--,recto,50,50
14.48,pista,--,derecha,50,50
15.08,pista,--,derecha,50,50
15.67,pista,--,recto,50,50
16.46,pista,--,perdida,50,50
17.06,pista,--,perdida,50,50
17.61,pista,--,perdida,50,50
18.26,pista,--,perdida,50,50
19.04,pista,--,perdida,50,50
19.64,pista,--,perdida,50,50
20.24,pista,--,perdida,50,50
20.78,pista,--,perdida,50,50
21.56,pista,--,perdida,50,50
22.16,pista,--,perdida,50,50
22.71,pista,--,perdida,50,50
23.3,pista,--,perdida,50,50
24.14,pista,--,perdida,50,50
24.67,pista,--,perdida,50,50
25.27,pista,--,perdida,50,50
25.94,pista,--,perdida,50,50
26.71,pista,--,perdida,50,50
27.38,pista,--,perdida,50,50
28.04,pista,--,perdida,50,50
28.82,pista,--,perdida,50,50
29.42,pista,--,perdida,50,50
29.95,pista,--,perdida,50,50
30.56,pista,--,perdida,50,50
31.39,pista,--,perdida,50,50
32.05,pista,--,perdida,50,50
32.6,pista,--,perdida,50,50
33.49,pista,--,perdida,50,50
34.04,pista,--,perdida,50,50
34.63,pista,--,perdida,50,50
35.42,pista,--,perdida,50,50
36.01,pista,--,perdida,50,50
36.62,pista,--,perdida,50,50
37.22,pista,--,perdida,50,50
38.06,pista,--,perdida,50,50
38.59,pista,--,perdida,50,50
39.2,pista,--,perdida,50,50
39.79,pista,--,perdida,50,50
40.52,pista,--,perdida,50,50
41.12,pista,--,perdida,50,50
41.65,pista,--,perdida,50,50
42.26,pista,--,perdida,50,50
43.1,pista,--,perdida,50,50
43.7,pista,--,perdida,50,50
44.23,pista,--,perdida,50,50
44.84,pista,--,perdida,50,50
45.62,pista,--,perdida,50,50
46.21,pista,--,perdida,50,50
46.81,pista,--,perdida,50,50
47.36,pista,--,perdida,50,50
48.09,pista,--,perdida,50,50
48.68,pista,--,perdida,50,50
49.28,pista,--,perdida,50,50
49.82,pista,--,perdida,50,50
50.65,pista,--,perdida,50,50
51.2,pista,--,perdida,50,50
