tiempo_s,modo,distancia_cm,offset,velocidad,bateria
0.53,detenido,--,--,50,--
1.03,detenido,--,--,50,--
1.53,detenido,--,--,50,--
2.18,detenido,--,--,50,50
2.71,detenido,--,--,50,50
3.21,detenido,--,--,50,50
3.71,detenido,--,--,50,50
4.22,detenido,--,--,50,50
4.72,detenido,--,--,50,50
5.25,detenido,--,--,50,50
5.75,detenido,--,--,50,50
6.26,detenido,--,--,50,50
6.76,detenido,--,--,50,50
7.29,detenido,--,--,50,50
7.79,detenido,--,--,50,50
8.3,detenido,--,--,50,50
8.8,detenido,--,--,50,50
9.31,detenido,--,--,50,50
9.81,detenido,--,--,50,50
10.33,detenido,--,--,50,50
10.86,detenido,--,--,50,50
11.36,detenido,--,--,50,50
11.89,detenido,--,--,50,50
12.73,pista,--,recto,50,50
13.52,pista,--,recto,50,50
14.11,pista,--,recto,50,50
14.72,pista,--,recto,50,50
15.32,pista,--,perdida,50,50
16.22,pista,--,izquierda,50,50
16.76,pista,--,izquierda,50,50
17.36,pista,--,izquierda,50,50
18.2,pista,--,perdida,50,50
18.73,pista,--,perdida,50,50
19.34,pista,--,perdida,50,50
19.93,pista,--,perdida,50,50
20.66,pista,--,perdida,50,50
21.26,pista,--,perdida,50,50
21.85,pista,--,perdida,50,50
22.46,pista,--,perdida,50,50
23.29,pista,--,perdida,50,50
23.84,pista,--,perdida,50,50
24.44,pista,--,perdida,50,50
25.03,pista,--,perdida,50,50
25.75,pista,--,perdida,50,50
26.36,pista,--,perdida,50,50
26.95,pista,--,perdida,50,50
27.62,pista,--,perdida,50,50
28.39,pista,--,perdida,50,50
29.11,pista,--,perdida,50,50
29.72,pista,--,perdida,50,50
30.44,pista,--,perdida,50,50
31.1,pista,--,perdida,50,50
31.69,pista,--,perdida,50,50
32.24,pista,--,perdida,50,50
33.14,pista,--,perdida,50,50
33.68,pista,--,perdida,50,50
34.28,pista,--,perdida,50,50
35.18,pista,--,perdida,50,50
35.78,pista,--,perdida,50,50
36.32,pista,--,perdida,50,50
37.09,pista,--,perdida,50,50
37.63,pista,--,perdida,50,50
38.29,pista,--,perdida,50,50
38.9,pista,--,perdida,50,50
39.67,pista,--,perdida,50,50
40.22,pista,--,perdida,50,50
40.87,pista,--,perdida,50,50
41.42,pista,--,perdida,50,50
42.2,pista,--,perdida,50,50
42.8,pista,--,perdida,50,50
43.39,pista,--,perdida,50,50
43.94,pista,--,perdida,50,50
44.83,pista,--,perdida,50,50
45.38,pista,--,perdida,50,50
45.92,pista,--,perdida,50,50
46.52,pista,--,perdida,50,50
47.41,pista,--,perdida,50,50
48.07,pista,--,perdida,50,50
48.68,pista,--,perdida,50,50
49.46,pista,--,perdida,50,50
50.0,pista,--,perdida,50,50
50.78,pista,--,perdida,50,50
51.56,pista,--,perdida,50,50
52.15,pista,--,perdida,50,50
52.7,pista,--,perdida,50,50
53.36,pista,--,perdida,50,50
54.19,pista,--,perdida,50,50
54.79,pista,--,perdida,50,50
55.34,pista,--,perdida,50,50
56.0,pista,--,perdida,50,50
56.89,pista,--,perdida,50,50
57.44,pista,--,perdida,50,50
58.04,pista,--,perdida,50,50
58.82,pista,--,perdida,50,50
59.42,pista,--,perdida,50,50
60.02,pista,--,perdida,50,50
60.55,pista,--,perdida,50,50
61.33,pista,--,perdida,50,50
61.93,pista,--,perdida,50,50
62.54,pista,--,perdida,50,50
63.13,pista,--,perdida,50,50
63.98,pista,--,perdida,50,50
64.52,pista,--,perdida,50,50
65.18,pista,--,perdida,50,50
66.08,pista,--,perdida,50,50
66.62,pista,--,perdida,50,50
67.21,pista,--,perdida,50,50
68.12,pista,--,perdida,50,50
68.66,pista,--,perdida,50,50
69.43,pista,--,perdida,50,50
70.27,pista,--,perdida,50,50
70.82,pista,--,perdida,50,50
71.48,pista,--,perdida,50,50
72.38,pista,--,perdida,50,50
72.97,pista,--,perdida,50,50
73.58,pista,--,perdida,50,50
74.36,pista,--,perdida,50,50
74.89,pista,--,perdida,50,50
75.56,pista,--,perdida,50,50
76.09,pista,--,perdida,50,50
76.81,pista,--,perdida,50,50
77.53,pista,--,perdida,50,50
78.08,pista,--,perdida,50,50
78.67,pista,--,perdida,50,50
79.58,pista,--,perdida,50,50
80.17,pista,--,perdida,50,50
80.78,pista,--,perdida,50,50
81.61,pista,--,perdida,50,50
82.16,pista,--,perdida,50,50
82.69,pista,--,perdida,50,50
83.3,pista,--,perdida,50,50
84.07,pista,--,perdida,50,50
84.74,pista,--,perdida,50,50
85.33,pista,--,perdida,50,50
86.12,pista,--,perdida,50,50
86.71,pista,--,perdida,50,50
87.26,pista,--,perdida,50,50
87.86,pista,--,perdida,50,50
88.88,pista,--,perdida,50,50
89.48,pista,--,perdida,50,50
90.01,pista,--,perdida,50,50
90.8,pista,--,perdida,50,50
91.34,pista,--,perdida,50,50
91.93,pista,--,perdida,50,50
92.53,pista,--,perdida,50,50
93.26,pista,--,perdida,50,50
93.8,pista,--,perdida,50,50
94.46,pista,--,perdida,50,50
95.05,pista,--,perdida,50,50
95.77,pista,--,perdida,50,50
96.43,pista,--,perdida,50,50
96.98,pista,--,perdida,50,50
97.69,pista,--,perdida,50,50
98.54,pista,--,perdida,50,50
99.14,pista,--,perdida,50,50
99.67,pista,--,perdida,50,50
100.34,pista,--,perdida,50,50
101.12,pista,--,perdida,50,50
101.65,pista,--,perdida,50,50
102.25,pista,--,perdida,50,50
102.8,pista,--,perdida,50,50
103.64,pista,--,perdida,50,50
104.23,pista,--,perdida,50,50
104.78,pista,--,perdida,50,50
108.25,pista,--,perdida,50,50
108.97,pista,--,perdida,50,50
109.7,pista,--,perdida,50,50
110.24,pista,--,perdida,50,50
110.77,pista,--,perdida,50,50
111.49,pista,--,perdida,50,50
112.1,pista,--,perdida,50,50
112.76,pista,--,perdida,50,50
113.3,pista,--,perdida,50,50
114.08,pista,--,perdida,50,50
114.61,pista,--,perdida,50,50
115.22,pista,--,perdida,50,50
115.93,pista,--,perdida,50,50
116.71,pista,--,perdida,50,50
117.26,pista,--,perdida,50,50
117.85,pista,--,perdida,50,50
118.51,pista,--,perdida,50,50
119.53,pista,--,perdida,50,50
120.14,pista,--,perdida,50,50
120.68,pista,--,perdida,50,50
121.52,pista,--,perdida,50,50
122.11,pista,--,perdida,50,50
122.66,pista,--,perdida,50,50
123.31,pista,--,perdida,50,50
124.09,pista,--,perdida,50,50
124.64,pista,--,perdida,50,50
125.3,pista,--,perdida,50,50
125.83,pista,--,perdida,50,50
126.55,pista,--,perdida,50,50
127.27,pista,--,perdida,50,50
127.81,pista,--,perdida,50,50
128.53,pista,--,perdida,50,50
129.31,pista,--,perdida,50,50
129.91,pista,--,perdida,50,50
130.45,pista,--,perdida,50,50
131.12,pista,--,perdida,50,50
131.9,pista,--,perdida,50,50
132.43,pista,--,perdida,50,50
133.09,pista,--,perdida,50,50
133.7,pista,--,perdida,50,50
134.47,pista,--,perdida,50,50
135.13,pista,--,perdida,50,50
135.73,pista,--,perdida,50,50
136.56,pista,--,perdida,50,50
137.17,pista,--,perdida,50,50
137.78,pista,--,perdida,50,50
138.67,pista,--,perdida,50,50
139.22,pista,--,perdida,50,50
