tiempo_s,distancia_cm,velocidad,bateria,luz,sonido,accion
0.58,300.0,50,80,43,4,parar
1.12,300.0,50,80,44,48,parar
1.78,300.0,50,80,43,55,parar
2.44,300.0,50,80,43,25,parar
3.1,300.0,50,80,43,45,parar
3.7,300.0,50,80,44,38,parar
4.3,300.0,50,80,44,10,parar
4.9,300.0,50,80,44,11,parar
5.56,300.0,50,80,44,15,parar
6.28,300.0,50,80,44,34,parar
6.94,300.0,50,80,45,10,parar
7.6,300.0,50,80,44,4,parar
8.26,300.0,50,80,44,8,parar
8.98,300.0,50,80,44,23,parar
9.7,300.0,50,80,44,23,parar
10.36,300.0,50,80,44,36,parar
11.02,300.0,50,80,44,15,parar
11.68,300.0,50,80,44,18,parar
12.34,300.0,50,80,44,35,parar
13.12,300.0,50,80,44,38,parar
13.78,300.0,50,80,44,20,parar
14.44,300.0,50,80,44,3,parar
15.22,300.0,50,80,44,13,parar
15.94,300.0,50,80,44,17,parar
16.54,300.0,50,80,44,2,parar
17.14,300.0,50,80,44,3,parar
17.92,300.0,50,80,44,3,parar
18.58,300.0,50,80,45,7,parar
19.24,300.0,50,80,44,2,parar
19.9,300.0,50,80,44,2,parar
20.56,300.0,50,80,44,2,parar
21.22,300.0,50,80,44,2,parar
21.82,300.0,50,80,44,18,parar
22.54,300.0,50,80,44,8,parar
23.14,300.0,50,80,44,50,parar
23.74,300.0,50,80,44,35,parar
24.4,300.0,50,80,44,31,parar
25.06,300.0,50,80,44,2,parar
25.78,300.0,50,80,44,38,parar
26.38,300.0,50,80,44,23,parar
27.02,300.0,50,80,43,70,adelante
27.79,300.0,50,80,40,19,parar
28.48,300.0,50,80,40,62,parar
29.18,300.0,50,80,39,100,derecha
29.83,100.5,50,80,34,24,parar
30.52,160.5,50,80,34,20,parar
