tiempo_s,modo,distancia_cm,offset,velocidad,bateria
0.51,detenido,--,--,50,--
1.01,detenido,--,--,50,--
1.51,detenido,--,--,50,--
2.25,detenido,--,--,50,50
2.75,detenido,--,--,50,50
3.25,detenido,--,--,50,50
3.75,detenido,--,--,50,50
4.29,detenido,--,--,50,50
4.79,detenido,--,--,50,50
5.3,detenido,--,--,50,50
5.8,detenido,--,--,50,50
6.3,detenido,--,--,50,50
6.8,detenido,--,--,50,50
7.31,detenido,--,--,50,50
7.81,detenido,--,--,50,50
8.31,detenido,--,--,50,50
8.81,detenido,--,--,50,50
9.31,detenido,--,--,50,50
9.82,detenido,--,--,50,50
10.32,detenido,--,--,50,50
10.82,detenido,--,--,50,50
11.32,detenido,--,--,50,50
11.82,detenido,--,--,50,50
12.33,detenido,--,--,50,50
12.83,detenido,--,--,50,50
13.33,detenido,--,--,50,50
13.83,detenido,--,--,50,50
14.34,detenido,--,--,50,50
14.84,detenido,--,--,50,50
15.34,detenido,--,--,50,50
15.84,detenido,--,--,50,50
16.35,detenido,--,--,50,50
16.88,detenido,--,--,50,50
17.38,detenido,--,--,50,50
17.88,detenido,--,--,50,50
18.38,detenido,--,--,50,50
18.89,detenido,--,--,50,50
19.39,detenido,--,--,50,50
19.89,detenido,--,--,50,50
20.41,detenido,--,--,50,50
20.91,detenido,--,--,50,50
21.41,detenido,--,--,50,50
21.92,detenido,--,--,50,50
22.43,detenido,--,--,50,50
22.97,detenido,--,--,50,50
23.47,detenido,--,--,50,50
23.97,detenido,--,--,50,50
24.49,detenido,--,--,50,50
24.99,detenido,--,--,50,50
25.49,detenido,--,--,50,50
25.99,detenido,--,--,50,50
26.49,detenido,--,--,50,50
27.0,detenido,--,--,50,50
27.5,detenido,--,--,50,50
28.0,detenido,--,--,50,50
28.51,detenido,--,--,50,50
29.01,detenido,--,--,50,50
29.51,detenido,--,--,50,50
30.04,detenido,--,--,50,50
31.05,pista,--,recto,50,50
31.65,pista,--,recto,50,50
32.25,pista,--,recto,50,50
33.09,pista,--,recto,50,50
33.69,pista,--,recto,50,50
34.23,pista,--,izquierda,50,50
34.89,pista,--,izquierda,50,50
35.67,pista,--,perdida,50,50
36.22,pista,--,perdida,50,50
36.81,pista,--,perdida,50,50
37.47,pista,--,perdida,50,50
38.32,pista,--,perdida,50,50
38.91,pista,--,perdida,50,50
39.45,pista,--,perdida,50,50
40.05,pista,--,perdida,50,50
40.95,pista,--,perdida,50,50
41.49,pista,--,perdida,50,50
42.03,pista,--,perdida,50,50
42.7,pista,--,perdida,50,50
43.53,pista,--,perdida,50,50
44.07,pista,--,perdida,50,50
44.68,pista,--,perdida,50,50
45.27,pista,--,perdida,50,50
45.99,pista,--,perdida,50,50
46.65,pista,--,perdida,50,50
47.19,pista,--,perdida,50,50
47.78,pista,--,perdida,50,50
48.57,pista,--,perdida,50,50
49.23,pista,--,perdida,50,50
49.78,pista,--,perdida,50,50
50.37,pista,--,perdida,50,50
51.15,pista,--,perdida,50,50
51.74,pista,--,perdida,50,50
52.48,pista,--,perdida,50,50
