tiempo_s,modo,distancia_cm,offset,velocidad,bateria
0.51,detenido,--,--,50,--
1.01,detenido,--,--,50,--
1.51,detenido,--,--,50,--
2.01,detenido,--,--,50,50
2.53,detenido,--,--,50,50
3.61,pista,--,recto,50,50
4.15,pista,--,recto,50,50
4.98,pista,--,recto,50,50
5.58,pista,--,recto,50,50
6.19,pista,--,perdida,50,50
7.02,pista,--,izquierda,50,50
7.57,pista,--,izquierda,50,50
8.16,pista,--,izquierda,50,50
8.76,pista,--,perdida,50,50
9.48,pista,--,perdida,50,50
10.03,pista,--,perdida,50,50
10.63,pista,--,perdida,50,50
11.21,pista,--,perdida,50,50
11.94,pista,--,perdida,50,50
12.54,pista,--,perdida,50,50
13.09,pista,--,perdida,50,50
13.62,pista,--,perdida,50,50
14.52,pista,--,perdida,50,50
15.05,pista,--,perdida,50,50
15.67,pista,--,perdida,50,50
16.5,pista,--,perdida,50,50
17.16,pista,--,perdida,50,50
17.71,pista,--,perdida,50,50
18.54,pista,--,perdida,50,50
19.08,pista,--,perdida,50,50
19.63,pista,--,perdida,50,50
20.23,pista,--,perdida,50,50
21.01,pista,--,perdida,50,50
21.54,pista,--,perdida,50,50
22.15,pista,--,perdida,50,50
22.68,pista,--,perdida,50,50
23.53,pista,--,perdida,50,50
24.12,pista,--,perdida,50,50
24.67,pista,--,perdida,50,50
25.2,pista,--,perdida,50,50
26.05,pista,--,perdida,50,50
