tiempo_s,modo,distancia_cm,offset,velocidad,bateria
1.1,pista,--,recto,50,--
1.7,pista,--,recto,50,--
2.29,pista,--,recto,50,50
3.14,pista,--,perdida,50,50
3.8,pista,--,izquierda,50,50
4.33,pista,--,izquierda,50,50
5.05,pista,--,perdida,50,50
5.6,pista,--,perdida,50,50
6.19,pista,--,perdida,50,50
6.85,pista,--,perdida,50,50
7.64,pista,--,perdida,50,50
8.23,pista,--,perdida,50,50
8.83,pista,--,perdida,50,50
9.44,pista,--,perdida,50,50
10.27,pista,--,perdida,50,50
10.93,pista,--,perdida,50,50
11.54,pista,--,perdida,50,50
12.38,pista,--,perdida,50,50
12.93,pista,--,perdida,50,50
13.58,pista,--,perdida,50,50
14.36,pista,--,perdida,50,50
14.9,pista,--,perdida,50,50
15.62,pista,--,perdida,50,50
16.51,pista,--,perdida,50,50
17.06,pista,--,perdida,50,50
17.72,pista,--,perdida,50,50
18.5,pista,--,perdida,50,50
19.15,pista,--,perdida,50,50
19.82,pista,--,perdida,50,50
20.59,pista,--,perdida,50,50
21.32,pista,--,perdida,50,50
21.92,pista,--,perdida,50,50
22.76,pista,--,perdida,50,50
23.42,pista,--,perdida,50,50
24.01,pista,--,perdida,50,50
24.79,pista,--,perdida,50,50
25.39,pista,--,perdida,50,50
26.0,pista,--,perdida,50,50
26.53,pista,--,perdida,50,50
27.38,pista,--,perdida,50,50
27.92,pista,--,perdida,50,50
28.52,pista,--,perdida,50,50
29.11,pista,--,perdida,50,50
29.89,pista,--,perdida,50,50
30.5,pista,--,perdida,50,50
31.1,pista,--,perdida,50,50
31.7,pista,--,perdida,50,50
32.47,pista,--,perdida,50,50
33.14,pista,--,perdida,50,50
33.68,pista,--,perdida,50,50
34.27,pista,--,perdida,50,50
