tiempo_s,distancia_cm,velocidad,bateria,luz,sonido,accion
0.62,109.1,50,80,43,18,parar
1.25,109.1,50,80,43,5,parar
1.91,109.1,50,80,43,13,parar
2.57,109.1,50,80,43,30,parar
3.17,109.5,50,80,42,34,parar
3.89,109.4,50,80,43,17,parar
4.55,109.0,50,80,44,22,parar
5.15,109.0,50,80,44,25,parar
6.05,109.0,50,80,44,26,parar
6.65,109.1,50,80,44,19,parar
7.25,109.0,50,80,44,8,parar
7.85,109.5,50,80,44,10,parar
8.63,109.5,50,80,44,8,parar
9.23,109.5,50,80,44,11,parar
9.83,109.5,50,80,44,43,parar
10.43,109.0,50,80,44,30,parar
11.09,109.4,50,80,45,24,parar
11.93,109.4,50,80,45,42,parar
12.59,109.5,50,80,44,8,parar
13.19,109.5,50,80,44,8,parar
