tiempo_s,modo,distancia_cm,offset,velocidad,bateria
0.53,detenido,--,--,50,--
1.06,detenido,--,--,50,--
1.59,detenido,--,--,50,--
2.11,manual,300.0,--,50,70
2.71,manual,300.0,--,50,70
3.37,manual,300.0,--,50,70
3.97,manual,300.0,--,50,70
4.67,manual,300.0,--,50,70
5.26,manual,300.0,--,50,70
5.89,manual,300.0,--,50,70
6.62,manual,300.0,--,50,70
7.12,manual,300.0,--,50,70
7.67,manual,300.0,--,50,70
8.17,manual,300.0,--,50,70
8.71,manual,300.0,--,50,70
9.43,manual,300.0,--,50,70
10.25,pista,--,perdida,50,70
10.96,pista,--,perdida,50,70
11.68,pista,--,perdida,50,70
12.41,pista,--,perdida,50,70
13.07,pista,--,perdida,50,70
13.78,pista,--,perdida,50,70
14.51,pista,--,perdida,50,70
15.24,pista,--,perdida,50,70
15.76,pista,--,perdida,50,70
16.48,pista,--,perdida,50,70
17.03,pista,--,perdida,50,70
17.81,pista,--,perdida,50,70
18.53,pista,--,perdida,50,70
19.06,pista,--,perdida,50,70
19.73,pista,--,perdida,50,70
20.44,pista,--,perdida,50,70
20.99,pista,--,perdida,50,70
21.83,pista,--,perdida,50,70
22.55,pista,--,perdida,50,70
23.27,pista,--,perdida,50,70
23.93,pista,--,perdida,50,70
24.65,pista,--,perdida,50,70
25.19,pista,--,perdida,50,70
25.79,pista,--,perdida,50,70
26.45,pista,--,perdida,50,70
27.0,pista,--,perdida,50,70
27.72,pista,--,perdida,50,70
28.48,pista,--,perdida,50,70
29.21,pista,--,perdida,50,70
29.74,pista,--,perdida,50,70
30.46,pista,--,perdida,50,70
31.2,pista,--,perdida,50,70
31.91,pista,--,perdida,50,70
32.63,pista,--,perdida,50,70
33.41,pista,--,perdida,50,70
34.13,pista,--,perdida,50,70
34.79,pista,--,perdida,50,70
35.57,pista,--,perdida,50,70
36.29,pista,--,perdida,50,70
37.01,pista,--,perdida,50,70
37.78,pista,--,perdida,50,70
38.57,pista,--,perdida,50,70
39.3,pista,--,perdida,50,70
40.01,pista,--,perdida,50,70
40.78,pista,--,perdida,50,70
41.56,pista,--,perdida,50,70
42.3,pista,--,perdida,50,70
43.01,pista,--,perdida,50,70
43.79,pista,--,perdida,50,70
44.5,pista,--,perdida,50,70
45.22,pista,--,perdida,50,70
46.02,pista,--,perdida,50,70
46.78,pista,--,perdida,50,70
47.39,pista,--,perdida,50,70
48.17,pista,--,perdida,50,70
48.89,pista,--,perdida,50,70
49.61,pista,--,perdida,50,70
50.39,pista,--,perdida,50,70
50.99,pista,--,perdida,50,70
51.7,pista,--,perdida,50,70
52.42,pista,--,perdida,50,70
53.21,pista,--,perdida,50,70
53.93,pista,--,perdida,50,70
54.58,pista,--,perdida,50,70
55.31,pista,--,perdida,50,70
56.03,pista,--,perdida,50,70
56.69,pista,--,perdida,50,70
57.4,pista,--,perdida,50,70
57.95,pista,--,perdida,50,70
58.96,pista,--,perdida,50,70
59.69,pista,--,perdida,50,70
60.41,pista,--,perdida,50,70
61.12,pista,--,perdida,50,70
61.92,pista,--,perdida,50,70
62.63,pista,--,perdida,50,70
63.36,pista,--,perdida,50,70
63.89,pista,--,perdida,50,70
64.61,pista,--,perdida,50,70
65.57,pista,--,perdida,50,70
66.3,pista,--,perdida,50,70
67.02,pista,--,perdida,50,70
67.79,pista,--,perdida,50,70
68.51,pista,--,perdida,50,70
69.23,pista,--,perdida,50,70
70.01,pista,--,perdida,50,70
70.73,pista,--,perdida,50,70
71.46,pista,--,perdida,50,70
72.18,pista,--,perdida,50,70
72.9,pista,--,perdida,50,70
73.43,pista,--,perdida,50,70
74.4,pista,--,perdida,50,70
75.12,pista,--,perdida,50,70
75.78,pista,--,perdida,50,70
76.55,pista,--,perdida,50,70
77.28,pista,--,perdida,50,70
77.81,pista,--,perdida,50,70
78.47,pista,--,perdida,50,70
79.18,pista,--,perdida,50,70
79.73,pista,--,perdida,50,70
80.68,pista,--,perdida,50,70
81.41,pista,--,perdida,50,70
82.19,pista,--,perdida,50,70
82.91,pista,--,perdida,50,70
83.63,pista,--,perdida,50,70
84.34,pista,--,perdida,50,70
85.08,pista,--,perdida,50,70
85.67,pista,--,perdida,50,70
