tiempo_s,modo,distancia_cm,offset,velocidad,bateria
0.53,detenido,--,--,50,--
1.06,detenido,--,--,50,--
1.66,manual,300.0,--,50,--
2.44,manual,300.0,--,50,60
2.98,manual,300.0,--,50,60
3.56,manual,94.00001,--,50,60
4.24,manual,300.0,--,50,60
4.78,manual,300.0,--,50,60
5.32,manual,300.0,--,50,60
5.86,manual,300.0,--,50,60
6.7,manual,300.0,--,50,60
7.24,manual,300.0,--,50,60
7.78,manual,108.3,--,50,60
8.32,manual,33.0,--,50,60
8.98,manual,300.0,--,50,60
9.52,manual,300.0,--,50,60
10.22,pista,--,perdida,50,60
10.94,pista,--,perdida,50,60
11.66,pista,--,perdida,50,60
12.37,pista,--,perdida,50,60
13.1,manual,89.7,--,50,60
13.66,manual,300.0,--,50,60
14.2,manual,89.3,--,40,60
14.74,manual,90.5,--,30,60
15.28,manual,300.0,--,20,60
15.82,manual,300.0,--,20,60
16.36,manual,300.0,--,20,60
17.14,manual,84.1,--,20,60
17.68,manual,83.8,--,20,60
18.22,manual,131.3,--,20,60
18.88,manual,300.0,--,30,60
19.46,manual,300.0,--,70,60
19.96,manual,300.0,--,100,60
20.65,manual,300.0,--,100,60
21.22,manual,64.1,--,100,60
21.76,manual,99.7,--,100,60
22.36,manual,55.6,--,100,60
22.9,manual,126.1,--,100,60
23.44,manual,91.7,--,100,60
23.98,manual,89.90001,--,100,60
24.52,manual,90.30001,--,100,60
25.12,manual,91.2,--,80,60
25.72,manual,300.0,--,50,60
26.32,manual,300.0,--,50,60
26.9,manual,90.80001,--,30,60
27.64,manual,90.30001,--,10,60
28.18,manual,90.7,--,20,60
28.72,manual,89.40001,--,50,60
29.26,manual,89.90001,--,80,60
29.8,manual,144.7,--,90,60
30.46,manual,300.0,--,90,60
31.06,manual,145.2,--,90,60
31.93,manual,300.0,--,90,60
32.62,manual,131.8,--,90,60
33.22,manual,131.8,--,90,60
33.94,manual,110.2,--,90,60
34.63,manual,132.7,--,90,60
35.2,manual,23.5,--,90,60
35.71,manual,25.5,--,90,60
36.26,manual,230.1,--,90,60
36.76,manual,26.6,--,90,60
