tiempo_s,modo,distancia_cm,offset,velocidad,bateria
0.5,detenido,--,--,50,--
1.03,detenido,--,--,50,--
1.56,detenido,--,--,50,--
2.23,detenido,--,--,50,70
2.76,detenido,--,--,50,70
3.29,detenido,--,--,50,70
3.82,detenido,--,--,50,70
4.33,detenido,--,--,50,70
4.83,detenido,--,--,50,70
5.36,detenido,--,--,50,70
5.86,detenido,--,--,50,70
6.38,detenido,--,--,50,70
6.91,detenido,--,--,50,70
7.41,detenido,--,--,50,70
7.94,detenido,--,--,50,70
8.46,detenido,--,--,50,70
8.98,detenido,--,--,50,70
9.51,detenido,--,--,50,70
10.01,detenido,--,--,50,70
10.54,detenido,--,--,50,70
11.04,detenido,--,--,50,70
11.57,manual,300.0,--,50,70
12.16,manual,300.0,--,50,70
12.7,manual,300.0,--,50,70
13.24,manual,300.0,--,50,70
13.9,manual,300.0,--,50,70
14.5,manual,300.0,--,50,70
15.08,manual,300.0,--,50,70
15.58,manual,300.0,--,50,70
16.22,manual,300.0,--,50,70
16.84,manual,300.0,--,50,70
17.5,manual,300.0,--,50,70
18.08,manual,300.0,--,50,70
18.58,manual,300.0,--,50,70
19.18,manual,132.0,--,50,70
19.72,manual,300.0,--,50,70
20.26,manual,300.0,--,50,70
20.86,manual,300.0,--,60,70
21.52,manual,300.0,--,80,70
22.12,manual,300.0,--,100,70
22.72,manual,300.0,--,100,70
23.26,manual,300.0,--,100,70
23.83,manual,300.0,--,100,70
24.44,manual,100.0,--,100,70
25.0,manual,300.0,--,100,70
25.6,manual,300.0,--,100,70
26.29,manual,300.0,--,100,70
26.95,manual,184.2,--,100,70
27.52,manual,300.0,--,100,70
28.1,manual,300.0,--,100,70
28.82,manual,164.7,--,100,70
29.38,manual,300.0,--,100,70
29.92,manual,300.0,--,100,70
30.5,manual,300.0,--,100,70
31.0,manual,300.0,--,100,70
31.58,manual,300.0,--,100,70
32.14,manual,300.0,--,100,70
33.08,manual,300.0,--,100,70
33.7,manual,300.0,--,100,70
34.22,manual,300.0,--,100,70
34.72,manual,300.0,--,100,70
35.38,manual,300.0,--,100,70
35.95,manual,88.30001,--,100,70
36.56,manual,300.0,--,100,70
37.21,manual,11.5,--,100,70
37.78,manual,11.0,--,100,70
38.38,manual,300.0,--,100,70
39.14,manual,300.0,--,100,70
39.7,manual,300.0,--,100,70
40.36,manual,8.2,--,100,70
41.2,manual,9.7,--,100,70
41.8,manual,9.7,--,100,70
42.4,manual,9.7,--,100,70
42.94,manual,14.9,--,100,70
43.54,manual,300.0,--,100,70
44.17,manual,300.0,--,100,70
44.72,manual,300.0,--,100,70
45.38,manual,300.0,--,100,70
45.93,manual,300.0,--,100,70
46.54,manual,300.0,--,100,70
47.08,manual,121.6,--,100,70
47.62,manual,300.0,--,100,70
48.22,manual,300.0,--,100,70
48.76,manual,300.0,--,100,70
49.48,manual,300.0,--,100,70
50.14,manual,120.0,--,100,70
50.72,manual,119.5,--,100,70
51.28,manual,120.7,--,100,70
51.88,manual,121.5,--,100,70
52.42,manual,120.7,--,100,70
53.08,manual,300.0,--,100,70
53.86,manual,121.5,--,100,70
54.46,manual,121.5,--,90,70
55.0,manual,300.0,--,90,70
55.6,manual,120.6,--,90,70
56.26,manual,120.7,--,90,70
56.87,manual,121.1,--,90,70
57.4,manual,120.7,--,90,70
58.21,pista,--,perdida,90,70
58.93,pista,--,perdida,90,70
59.66,pista,--,perdida,90,70
60.38,pista,--,perdida,90,70
61.16,pista,--,perdida,90,70
61.87,pista,--,perdida,90,70
62.53,pista,--,perdida,90,70
63.25,pista,--,perdida,90,70
64.04,pista,--,perdida,90,70
64.82,pista,--,perdida,90,70
65.6,pista,--,perdida,90,70
66.12,detenido,--,--,90,70
66.65,detenido,--,--,90,70
67.18,detenido,--,--,90,70
67.71,detenido,--,--,90,70
68.21,detenido,--,--,90,70
68.72,detenido,--,--,90,70
69.22,detenido,--,--,90,70
69.75,detenido,--,--,90,70
70.25,detenido,--,--,90,70
70.75,detenido,--,--,90,70
71.28,detenido,--,--,90,70
71.82,detenido,--,--,90,70
