tiempo_s,modo,distancia_cm,offset,velocidad,bateria
0.5,detenido,--,--,50,--
1.03,detenido,--,--,50,--
1.56,detenido,--,--,50,--
2.22,detenido,--,--,50,50
2.94,pista,--,recto,50,50
3.54,pista,--,recto,50,50
4.08,pista,--,recto,50,50
4.92,pista,--,recto,50,50
5.59,pista,--,izquierda,50,50
6.12,pista,--,izquierda,50,50
6.91,pista,--,perdida,50,50
7.5,pista,--,perdida,50,50
8.04,pista,--,perdida,50,50
8.7,pista,--,perdida,50,50
9.48,pista,--,perdida,50,50
10.03,pista,--,perdida,50,50
10.56,pista,--,perdida,50,50
11.11,pista,--,perdida,50,50
11.88,pista,--,perdida,50,50
12.49,pista,--,perdida,50,50
13.02,pista,--,perdida,50,50
13.56,pista,--,perdida,50,50
14.35,pista,--,perdida,50,50
14.94,pista,--,perdida,50,50
15.48,pista,--,perdida,50,50
16.09,pista,--,perdida,50,50
16.87,pista,--,perdida,50,50
17.4,pista,--,perdida,50,50
18.01,pista,--,perdida,50,50
18.54,pista,--,perdida,50,50
19.32,pista,--,perdida,50,50
19.92,pista,--,perdida,50,50
20.47,pista,--,perdida,50,50
21.06,pista,--,perdida,50,50
21.9,pista,--,perdida,50,50
22.44,pista,--,perdida,50,50
22.99,pista,--,perdida,50,50
23.65,pista,--,perdida,50,50
24.43,pista,--,perdida,50,50
24.96,pista,--,perdida,50,50
25.57,pista,--,perdida,50,50
26.1,pista,--,perdida,50,50
26.81,pista,--,perdida,50,50
27.55,pista,--,perdida,50,50
28.14,pista,--,perdida,50,50
28.93,pista,--,perdida,50,50
29.52,pista,--,perdida,50,50
30.06,pista,--,perdida,50,50
30.61,pista,--,perdida,50,50
31.44,pista,--,perdida,50,50
32.05,pista,--,perdida,50,50
32.58,pista,--,perdida,50,50
33.19,pista,--,perdida,50,50
33.96,pista,--,perdida,50,50
