tiempo_s,modo,distancia_cm,offset,velocidad,bateria
0.51,detenido,--,--,50,--
1.04,detenido,--,--,50,--
1.57,detenido,--,--,50,--
2.23,detenido,--,--,50,50
2.76,detenido,--,--,50,50
3.49,pista,--,recto,50,50
4.11,pista,--,recto,50,50
4.87,pista,--,recto,50,50
5.48,pista,--,recto,50,50
6.08,pista,--,recto,50,50
6.69,pista,--,perdida,50,50
7.45,pista,--,izquierda,50,50
8.0,pista,--,izquierda,50,50
8.55,pista,--,izquierda,50,50
9.25,pista,--,izquierda,50,50
10.16,pista,--,perdida,50,50
10.69,pista,--,perdida,50,50
11.3,pista,--,perdida,50,50
12.07,pista,--,perdida,50,50
12.62,pista,--,perdida,50,50
13.22,pista,--,perdida,50,50
13.76,pista,--,perdida,50,50
14.55,pista,--,perdida,50,50
15.14,pista,--,perdida,50,50
15.67,pista,--,perdida,50,50
16.28,pista,--,perdida,50,50
17.05,pista,--,perdida,50,50
17.59,pista,--,perdida,50,50
18.14,pista,--,perdida,50,50
18.74,pista,--,perdida,50,50
19.58,pista,--,perdida,50,50
20.12,pista,--,perdida,50,50
20.71,pista,--,perdida,50,50
21.26,pista,--,perdida,50,50
22.04,pista,--,perdida,50,50
22.64,pista,--,perdida,50,50
23.18,pista,--,perdida,50,50
23.78,pista,--,perdida,50,50
24.62,pista,--,perdida,50,50
25.15,pista,--,perdida,50,50
25.7,pista,--,perdida,50,50
26.3,pista,--,perdida,50,50
27.09,pista,--,perdida,50,50
27.62,pista,--,perdida,50,50
28.28,pista,--,perdida,50,50
28.81,pista,--,perdida,50,50
29.6,pista,--,perdida,50,50
30.21,pista,--,perdida,50,50
30.74,pista,--,perdida,50,50
31.27,pista,--,perdida,50,50
32.18,pista,--,perdida,50,50
32.71,pista,--,perdida,50,50
33.31,pista,--,perdida,50,50
34.09,pista,--,perdida,50,50
34.69,pista,--,perdida,50,50
35.24,pista,--,perdida,50,50
35.77,pista,--,perdida,50,50
36.5,pista,--,perdida,50,50
37.04,pista,--,perdida,50,50
37.57,pista,--,perdida,50,50
38.24,pista,--,perdida,50,50
39.01,pista,--,perdida,50,50
39.55,pista,--,perdida,50,50
40.15,pista,--,perdida,50,50
40.75,pista,--,perdida,50,50
41.54,pista,--,perdida,50,50
42.13,pista,--,perdida,50,50
42.79,pista,--,perdida,50,50
43.64,pista,--,perdida,50,50
44.23,pista,--,perdida,50,50
44.78,pista,--,perdida,50,50
45.38,pista,--,perdida,50,50
46.22,pista,--,perdida,50,50
46.82,pista,--,perdida,50,50
47.47,pista,--,perdida,50,50
48.25,pista,--,perdida,50,50
48.8,pista,--,perdida,50,50
49.39,pista,--,perdida,50,50
49.94,pista,--,perdida,50,50
50.78,pista,--,perdida,50,50
51.38,pista,--,perdida,50,50
51.98,pista,--,perdida,50,50
52.76,pista,--,perdida,50,50
53.54,pista,--,perdida,50,50
54.08,pista,--,perdida,50,50
54.86,pista,--,perdida,50,50
55.45,pista,--,perdida,50,50
56.06,pista,--,perdida,50,50
56.65,pista,--,perdida,50,50
57.43,pista,--,perdida,50,50
57.98,pista,--,perdida,50,50
58.51,pista,--,perdida,50,50
59.12,pista,--,perdida,50,50
60.01,pista,--,perdida,50,50
60.56,pista,--,perdida,50,50
61.16,pista,--,perdida,50,50
61.94,pista,--,perdida,50,50
62.53,pista,--,perdida,50,50
63.13,pista,--,perdida,50,50
63.68,pista,--,perdida,50,50
64.51,pista,--,perdida,50,50
65.18,pista,--,perdida,50,50
65.71,pista,--,perdida,50,50
66.49,pista,--,perdida,50,50
67.1,pista,--,perdida,50,50
67.63,pista,--,perdida,50,50
68.18,pista,--,perdida,50,50
69.08,pista,--,perdida,50,50
69.61,pista,--,perdida,50,50
70.16,pista,--,perdida,50,50
70.75,pista,--,perdida,50,50
71.47,pista,--,perdida,50,50
72.08,pista,--,perdida,50,50
72.67,pista,--,perdida,50,50
73.28,pista,--,perdida,50,50
