tiempo_s,modo,distancia_cm,offset,velocidad,bateria
0.96,pista,--,recto,50,--
1.56,pista,--,recto,50,--
2.16,pista,--,recto,50,40
2.88,pista,--,recto,50,40
3.54,pista,--,derecha,50,40
4.15,pista,--,derecha,50,40
4.68,pista,--,recto,50,50
5.53,pista,--,recto,50,50
6.12,pista,--,derecha,50,50
6.67,pista,--,derecha,50,50
7.2,pista,--,recto,50,40
7.99,pista,--,recto,50,40
8.58,pista,--,recto,50,40
9.83,pista,--,blue,50,40
10.56,pista,--,derecha,50,40
11.1,pista,--,derecha,50,40
11.7,pista,--,recto,50,40
12.28,pista,--,perdida,50,50
13.76,pista,--,green,50,50
14.28,pista,--,green,50,50
14.88,pista,--,izquierda,50,40
15.79,pista,--,izquierda,50,40
17.01,pista,--,yellow,50,40
17.91,pista,--,perdida,50,40
18.52,pista,--,perdida,50,40
19.11,pista,--,perdida,50,50
19.96,pista,--,perdida,50,50
20.56,pista,--,perdida,50,50
21.27,pista,--,perdida,50,50
21.99,pista,--,perdida,50,50
22.59,pista,--,perdida,50,50
23.26,pista,--,perdida,50,50
23.91,pista,--,perdida,50,40
24.69,pista,--,perdida,50,40
25.36,pista,--,perdida,50,40
25.95,pista,--,perdida,50,50
26.73,pista,--,perdida,50,50
27.4,pista,--,perdida,50,50
28.0,pista,--,perdida,50,50
28.78,pista,--,perdida,50,50
29.38,pista,--,perdida,50,50
30.03,pista,--,perdida,50,50
30.81,pista,--,perdida,50,50
31.47,pista,--,perdida,50,50
32.08,pista,--,perdida,50,50
32.91,pista,--,perdida,50,50
33.57,pista,--,perdida,50,50
34.18,pista,--,perdida,50,50
35.01,pista,--,perdida,50,50
35.62,pista,--,perdida,50,50
36.21,pista,--,perdida,50,50
37.12,pista,--,perdida,50,50
37.71,pista,--,perdida,50,50
38.31,pista,--,perdida,50,50
39.22,pista,--,perdida,50,50
39.87,pista,--,perdida,50,50
40.54,pista,--,perdida,50,40
41.32,pista,--,perdida,50,40
41.91,pista,--,perdida,50,40
42.63,pista,--,perdida,50,40
43.41,pista,--,perdida,50,40
44.08,pista,--,perdida,50,40
44.68,pista,--,perdida,50,40
45.57,pista,--,perdida,50,40
46.23,pista,--,perdida,50,40
46.9,pista,--,perdida,50,40
47.68,pista,--,perdida,50,40
48.33,pista,--,perdida,50,40
48.99,pista,--,perdida,50,50
49.84,pista,--,perdida,50,50
50.44,pista,--,perdida,50,50
