tiempo_s,modo,distancia_cm,offset,velocidad,bateria
0.51,detenido,--,--,50,--
1.04,detenido,--,--,50,--
1.54,detenido,--,--,50,--
2.25,detenido,--,--,50,60
2.75,detenido,--,--,50,60
3.25,detenido,--,--,50,60
3.75,detenido,--,--,50,60
4.34,detenido,--,--,50,60
4.85,detenido,--,--,50,60
5.35,detenido,--,--,50,60
5.85,detenido,--,--,50,60
6.36,detenido,--,--,50,60
6.86,detenido,--,--,50,60
7.39,detenido,--,--,50,60
7.92,detenido,--,--,50,60
8.43,detenido,--,--,50,60
8.94,detenido,--,--,50,60
9.44,detenido,--,--,50,60
9.94,detenido,--,--,50,60
10.44,detenido,--,--,50,60
10.94,detenido,--,--,50,60
11.45,detenido,--,--,50,60
11.95,detenido,--,--,50,60
12.45,detenido,--,--,50,60
12.95,detenido,--,--,50,60
13.46,detenido,--,--,50,60
13.96,detenido,--,--,50,60
14.46,detenido,--,--,50,60
14.96,detenido,--,--,50,60
15.46,detenido,--,--,50,60
15.97,detenido,--,--,50,60
16.48,detenido,--,--,50,60
16.99,detenido,--,--,50,60
17.49,detenido,--,--,50,60
17.99,detenido,--,--,50,60
18.52,detenido,--,--,50,60
19.02,detenido,--,--,50,60
19.52,detenido,--,--,50,60
20.05,detenido,--,--,50,60
20.55,detenido,--,--,50,60
21.05,detenido,--,--,50,60
21.55,detenido,--,--,50,60
22.06,detenido,--,--,50,60
22.57,detenido,--,--,50,60
23.07,detenido,--,--,50,60
23.58,detenido,--,--,50,60
24.08,detenido,--,--,50,60
24.58,detenido,--,--,50,60
25.08,detenido,--,--,50,60
25.59,detenido,--,--,50,60
26.09,detenido,--,--,50,60
26.59,detenido,--,--,50,60
27.1,detenido,--,--,50,60
27.6,detenido,--,--,50,60
28.1,detenido,--,--,50,60
28.62,detenido,--,--,50,60
29.12,detenido,--,--,50,60
29.62,detenido,--,--,50,60
30.12,detenido,--,--,50,60
30.64,detenido,--,--,50,60
31.14,detenido,--,--,50,60
31.89,pista,--,0.0,50,60
32.49,pista,--,-1.0,50,60
33.34,pista,--,perdida,50,60
33.94,pista,--,3.0,50,60
34.47,pista,--,1.0,50,60
35.07,pista,--,perdida,50,60
35.79,pista,--,perdida,50,60
36.39,pista,--,perdida,50,60
37.0,pista,--,perdida,50,60
37.53,pista,--,perdida,50,60
38.32,pista,--,perdida,50,60
38.91,pista,--,perdida,50,60
39.51,pista,--,perdida,50,60
40.05,pista,--,perdida,50,60
40.89,pista,--,perdida,50,60
41.5,pista,--,perdida,50,60
42.03,pista,--,perdida,50,60
42.63,pista,--,0.0,50,60
43.88,pista,--,blue,50,60
44.62,pista,--,perdida,50,60
45.22,pista,--,perdida,50,60
46.0,pista,--,perdida,50,60
46.6,pista,--,perdida,50,60
47.25,pista,--,perdida,50,60
48.04,pista,--,perdida,50,60
48.63,pista,--,-2.0,50,60
49.18,pista,--,-2.0,50,60
49.78,pista,--,perdida,50,60
50.61,pista,--,perdida,50,60
51.22,pista,--,perdida,50,60
51.82,pista,--,perdida,50,60
52.65,pista,--,perdida,50,60
53.19,pista,--,perdida,50,60
53.79,pista,--,perdida,50,60
54.4,pista,--,perdida,50,60
55.17,pista,--,perdida,50,60
55.71,pista,--,perdida,50,60
56.31,pista,--,perdida,50,60
56.92,pista,--,perdida,50,60
57.75,pista,--,perdida,50,60
58.36,pista,--,perdida,50,60
58.89,pista,--,perdida,50,60
59.55,pista,--,perdida,50,60
60.33,pista,--,perdida,50,60
60.88,pista,--,perdida,50,60
61.47,pista,--,perdida,50,60
62.13,pista,--,perdida,50,60
62.91,pista,--,perdida,50,60
63.45,pista,--,perdida,50,60
64.06,pista,--,perdida,50,60
64.59,pista,--,perdida,50,60
65.38,pista,--,perdida,50,60
66.04,pista,--,perdida,50,60
66.57,pista,--,perdida,50,60
67.23,pista,--,perdida,50,60
68.07,pista,--,perdida,50,60
68.61,pista,--,perdida,50,60
69.22,pista,--,perdida,50,60
69.81,pista,--,perdida,50,60
70.53,pista,--,perdida,50,60
71.07,pista,--,perdida,50,60
71.67,pista,--,perdida,50,60
72.34,pista,--,perdida,50,60
73.12,pista,--,perdida,50,60
73.72,pista,--,perdida,50,60
74.25,pista,--,perdida,50,60
74.85,pista,--,perdida,50,60
75.69,pista,--,perdida,50,60
76.24,pista,--,perdida,50,60
76.77,pista,--,perdida,50,60
77.37,pista,--,perdida,50,60
78.09,pista,--,perdida,50,60
78.7,pista,--,perdida,50,60
79.29,pista,--,perdida,50,60
79.84,pista,--,perdida,50,60
80.61,pista,--,perdida,50,60
81.22,pista,--,perdida,50,60
81.81,pista,--,perdida,50,60
82.36,pista,--,perdida,50,60
83.26,pista,--,perdida,50,60
83.79,pista,--,perdida,50,60
84.34,pista,--,perdida,50,60
85.0,pista,--,perdida,50,60
85.78,pista,--,perdida,50,60
86.38,pista,--,perdida,50,60
86.97,pista,--,perdida,50,60
87.51,pista,--,perdida,50,60
88.29,pista,--,perdida,50,60
88.96,pista,--,perdida,50,60
89.55,pista,--,perdida,50,60
90.27,pista,--,perdida,50,60
90.93,pista,--,perdida,50,60
91.54,pista,--,perdida,50,60
92.07,pista,--,perdida,50,60
92.85,pista,--,perdida,50,60
93.45,pista,--,perdida,50,60
94.06,pista,--,perdida,50,60
94.71,pista,--,perdida,50,60
95.43,pista,--,perdida,50,60
95.98,pista,--,perdida,50,60
96.57,pista,--,perdida,50,60
97.18,pista,--,perdida,50,60
97.96,pista,--,perdida,50,60
98.55,pista,--,perdida,50,60
99.1,pista,--,perdida,50,60
99.69,pista,--,perdida,50,60
100.54,pista,--,perdida,50,60
101.08,pista,--,perdida,50,60
101.62,pista,--,perdida,50,60
102.21,pista,--,perdida,50,60
102.99,pista,--,perdida,50,60
103.65,pista,--,perdida,50,60
104.26,pista,--,perdida,50,60
105.04,pista,--,perdida,50,60
105.57,pista,--,perdida,50,60
106.18,pista,--,perdida,50,60
106.78,pista,--,perdida,50,60
107.56,pista,--,perdida,50,60
108.15,pista,--,perdida,50,60
108.7,pista,--,perdida,50,60
109.23,pista,--,perdida,50,60
110.08,pista,--,perdida,50,60
110.67,pista,--,perdida,50,60
111.28,pista,--,perdida,50,60
112.06,pista,--,perdida,50,60
