tiempo_s,distancia_cm,velocidad,bateria,luz,sonido,accion
0.59,125.5,50,80,31,8,parar
1.1,125.9,50,80,31,54,parar
1.88,126.3,50,80,31,43,parar
2.6,126.3,50,80,32,22,parar
3.26,125.5,50,80,32,28,parar
3.98,125.9,50,80,32,28,parar
4.58,124.2,50,80,31,8,parar
5.34,122.9,50,80,30,33,adelante
6.02,145.1,50,80,29,90,adelante
6.77,116.0,50,80,35,88,derecha
7.5,300.0,50,80,41,6,parar
8.12,300.0,60,80,40,22,parar
8.84,300.0,70,80,41,8,parar
9.48,300.0,80,80,40,80,parar
10.16,300.0,80,80,40,45,parar
10.82,300.0,80,80,40,17,parar
11.48,300.0,80,80,40,4,parar
12.11,300.0,80,80,41,45,adelante
12.74,300.0,80,80,45,86,adelante
13.4,300.0,80,80,47,100,adelante
14.0,300.0,80,80,48,70,adelante
14.64,300.0,80,80,50,72,izquierda
15.42,250.3,80,80,42,6,parar
16.07,110.6,80,80,42,19,adelante
16.79,300.0,80,80,40,10,parar
17.54,93.3,80,80,40,13,parar
18.2,92.9,80,80,40,12,parar
18.8,92.9,80,80,40,9,parar
19.46,92.9,80,80,40,7,parar
20.18,92.9,80,80,40,6,parar
20.9,93.3,80,80,40,8,parar
21.5,93.3,80,80,40,9,parar
22.19,93.3,80,80,41,88,derecha
22.86,144.3,80,80,48,38,parar
23.64,300.0,80,80,49,43,adelante
24.36,300.0,80,80,50,99,izquierda
25.07,248.0,80,80,43,4,parar
25.8,163.8,80,80,43,28,adelante
26.48,133.7,80,80,41,63,adelante
27.18,124.9,80,80,39,5,parar
27.9,129.4,80,80,41,99,izquierda
28.55,300.0,80,80,47,3,parar
29.24,300.0,80,80,47,17,parar
29.9,300.0,80,80,48,32,parar
30.6,300.0,80,80,48,23,adelante
31.38,300.0,80,80,48,78,derecha
32.16,300.0,80,80,41,15,parar
33.0,135.9,80,80,41,23,adelante
33.72,140.0,80,80,40,23,parar
34.4,121.5,80,80,40,8,parar
35.13,121.9,80,80,40,36,parar
35.84,121.1,80,80,40,17,parar
36.5,121.9,80,80,40,9,parar
37.22,120.7,80,80,40,7,parar
37.82,119.8,80,80,40,11,parar
38.6,120.2,80,80,40,18,parar
39.26,120.2,80,80,40,26,parar
40.16,120.2,80,80,40,20,parar
40.88,120.7,80,80,40,41,parar
41.6,120.7,60,80,40,72,parar
42.31,121.1,50,80,40,34,parar
43.16,122.8,20,80,40,17,parar
43.8,121.5,10,80,41,14,parar
44.42,132.8,10,80,40,15,parar
45.08,121.9,10,80,40,60,parar
45.86,121.1,10,80,40,46,parar
46.46,121.1,10,80,40,28,parar
47.12,121.1,10,80,39,51,parar
47.78,121.5,10,80,39,17,parar
48.44,121.5,10,80,40,26,parar
49.28,121.5,10,80,40,39,parar
49.94,120.7,10,80,40,43,parar
50.66,120.7,10,80,39,29,parar
51.26,121.9,10,80,40,26,parar
51.92,121.5,10,80,40,18,parar
52.64,121.5,10,80,40,15,parar
53.24,120.7,10,80,40,15,parar
53.9,121.1,10,80,40,7,parar
54.56,120.7,10,80,40,21,parar
55.34,120.7,10,80,38,8,parar
56.12,120.2,10,80,39,16,parar
56.79,120.2,10,80,40,8,parar
57.44,120.7,10,80,40,5,parar
58.26,120.6,10,80,40,24,atras
59.25,134.4,10,80,40,24,atras
59.94,120.7,10,80,41,30,parar
60.59,122.1,10,80,41,27,adelante
61.22,125.2,10,80,40,23,adelante
61.91,125.5,10,80,40,50,derecha
62.72,129.5,10,80,40,36,derecha
63.38,132.5,10,80,41,36,derecha
64.08,133.7,10,80,43,4,parar
64.92,300.0,10,80,44,35,derecha
65.64,300.0,10,80,48,9,parar
66.33,300.0,40,80,48,6,parar
66.96,300.0,40,80,48,8,parar
67.65,300.0,40,80,48,3,parar
68.31,300.0,40,80,48,10,parar
68.94,300.0,40,80,48,83,adelante
69.69,300.0,40,80,48,100,adelante
70.37,300.0,40,80,48,90,derecha
71.16,300.0,40,80,48,6,parar
71.82,300.0,40,80,48,76,adelante
72.59,300.0,40,80,49,90,izquierda
73.26,300.0,40,80,48,6,parar
73.88,300.0,60,80,48,5,parar
74.58,300.0,100,80,48,4,parar
75.2,300.0,100,80,48,9,parar
75.86,300.0,100,80,48,20,parar
76.52,300.0,100,80,48,20,parar
77.21,300.0,100,80,48,33,adelante
77.84,300.0,100,80,45,59,adelante
78.47,300.0,100,80,42,77,derecha
79.13,300.0,100,80,46,12,parar
79.8,300.0,100,80,47,36,adelante
80.48,300.0,100,80,48,79,adelante
81.14,300.0,100,80,47,95,adelante
81.84,300.0,100,80,46,94,izquierda
82.56,62.6,100,80,46,11,parar
83.22,300.0,100,80,46,84,adelante
83.91,300.0,100,80,47,72,adelante
84.54,300.0,100,80,46,88,derecha
85.26,300.0,100,80,47,2,parar
85.89,300.0,100,80,47,32,parar
86.54,300.0,100,80,47,11,parar
87.15,300.0,100,80,47,6,parar
87.74,300.0,100,80,47,10,parar
88.34,300.0,100,80,47,4,parar
88.95,300.0,100,80,47,8,parar
89.67,300.0,100,80,47,4,parar
90.27,300.0,100,80,47,4,parar
90.93,300.0,100,80,47,4,parar
91.65,300.0,100,80,47,8,parar
92.25,300.0,100,80,47,10,parar
92.96,300.0,100,80,47,10,parar
93.57,300.0,100,80,47,9,parar
94.22,300.0,100,80,47,4,parar
94.82,300.0,100,80,47,3,parar
95.43,300.0,100,80,47,6,parar
