tiempo_s,modo,distancia_cm,offset,velocidad,bateria
0.5,detenido,--,--,50,--
1.01,detenido,--,--,50,--
1.51,detenido,--,--,50,--
2.01,detenido,--,--,50,50
2.51,detenido,--,--,50,50
3.01,detenido,--,--,50,50
3.52,detenido,--,--,50,50
4.02,detenido,--,--,50,50
4.52,detenido,--,--,50,50
5.02,detenido,--,--,50,50
6.52,pista,--,yellow,50,50
7.25,pista,--,recto,50,50
7.91,pista,--,recto,50,50
8.5,pista,--,red,50,50
9.02,detenido,--,--,50,50
9.52,detenido,--,--,50,50
10.03,detenido,--,--,50,50
10.53,detenido,--,--,50,50
11.03,detenido,--,--,50,50
11.53,detenido,--,--,50,50
12.04,detenido,--,--,50,50
12.54,detenido,--,--,50,50
13.04,detenido,--,--,50,50
13.57,detenido,--,--,50,50
14.07,detenido,--,--,50,50
14.57,detenido,--,--,50,50
15.08,detenido,--,--,50,50
15.58,detenido,--,--,50,50
16.08,detenido,--,--,50,50
16.59,detenido,--,--,50,50
17.09,detenido,--,--,50,50
17.62,detenido,--,--,50,50
18.12,detenido,--,--,50,50
18.63,detenido,--,--,50,50
19.13,detenido,--,--,50,50
19.63,detenido,--,--,50,50
20.14,detenido,--,--,50,50
20.64,detenido,--,--,50,50
21.14,detenido,--,--,50,50
21.64,detenido,--,--,50,50
22.14,detenido,--,--,50,50
22.65,detenido,--,--,50,50
23.15,detenido,--,--,50,50
23.68,detenido,--,--,50,50
24.18,detenido,--,--,50,50
24.69,detenido,--,--,50,50
25.2,detenido,--,--,50,50
25.7,detenido,--,--,50,50
26.2,detenido,--,--,50,50
26.71,detenido,--,--,50,50
27.24,detenido,--,--,50,50
27.74,detenido,--,--,50,50
28.25,detenido,--,--,50,50
28.91,detenido,--,--,50,50
29.41,detenido,--,--,50,50
29.91,detenido,--,--,50,50
30.41,detenido,--,--,50,50
30.94,detenido,--,--,50,50
31.45,detenido,--,--,50,50
31.95,detenido,--,--,50,50
32.45,detenido,--,--,50,50
32.96,detenido,--,--,50,50
33.46,detenido,--,--,50,50
33.96,detenido,--,--,50,50
34.46,detenido,--,--,50,50
34.96,detenido,--,--,50,50
35.46,detenido,--,--,50,50
35.97,detenido,--,--,50,50
36.5,detenido,--,--,50,50
37.0,detenido,--,--,50,50
37.5,detenido,--,--,50,50
38.01,detenido,--,--,50,50
38.51,detenido,--,--,50,50
39.1,detenido,--,--,50,50
39.6,detenido,--,--,50,50
40.13,detenido,--,--,50,50
40.64,detenido,--,--,50,50
41.14,detenido,--,--,50,50
41.64,detenido,--,--,50,50
42.14,detenido,--,--,50,50
42.65,detenido,--,--,50,50
43.16,detenido,--,--,50,50
43.7,detenido,--,--,50,50
44.2,detenido,--,--,50,50
44.7,detenido,--,--,50,50
45.2,detenido,--,--,50,50
45.7,detenido,--,--,50,50
46.21,detenido,--,--,50,50
46.71,detenido,--,--,50,50
47.21,detenido,--,--,50,50
47.74,detenido,--,--,50,50
48.24,detenido,--,--,50,50
48.74,detenido,--,--,50,50
49.27,detenido,--,--,50,50
49.78,detenido,--,--,50,50
50.28,detenido,--,--,50,50
50.81,detenido,--,--,50,50
51.31,detenido,--,--,50,50
51.81,detenido,--,--,50,50
52.35,detenido,--,--,50,50
53.02,detenido,--,--,50,50
53.55,detenido,--,--,50,50
54.06,detenido,--,--,50,50
54.56,detenido,--,--,50,50
55.06,detenido,--,--,50,50
55.59,detenido,--,--,50,50
56.09,detenido,--,--,50,50
56.59,detenido,--,--,50,50
57.1,detenido,--,--,50,50
57.6,detenido,--,--,50,50
58.1,detenido,--,--,50,50
58.6,detenido,--,--,50,50
59.1,detenido,--,--,50,50
59.6,detenido,--,--,50,50
60.13,detenido,--,--,50,50
60.63,detenido,--,--,50,50
61.15,detenido,--,--,50,50
61.65,detenido,--,--,50,50
62.16,detenido,--,--,50,50
62.69,detenido,--,--,50,50
63.19,detenido,--,--,50,50
63.69,detenido,--,--,50,50
64.19,detenido,--,--,50,50
64.69,detenido,--,--,50,50
65.21,detenido,--,--,50,50
65.71,detenido,--,--,50,50
66.21,detenido,--,--,50,50
66.72,detenido,--,--,50,50
67.25,detenido,--,--,50,50
67.78,detenido,--,--,50,50
68.28,detenido,--,--,50,50
68.81,detenido,--,--,50,50
69.34,detenido,--,--,50,50
69.87,detenido,--,--,50,50
70.37,detenido,--,--,50,50
70.9,detenido,--,--,50,50
71.42,detenido,--,--,50,50
71.92,detenido,--,--,50,50
72.42,detenido,--,--,50,50
72.92,detenido,--,--,50,50
73.45,detenido,--,--,50,50
73.95,detenido,--,--,50,50
74.48,detenido,--,--,50,50
75.01,detenido,--,--,50,50
75.53,detenido,--,--,50,50
76.03,detenido,--,--,50,50
76.56,detenido,--,--,50,50
77.25,detenido,--,--,50,50
77.78,detenido,--,--,50,50
78.28,detenido,--,--,50,50
78.78,detenido,--,--,50,50
79.3,detenido,--,--,50,50
79.83,detenido,--,--,50,50
80.33,detenido,--,--,50,50
